invoice_id,invoice_no,vendor_name,invoice_date,amount,expense_type
INV000050,FP202500000050,XX供应商2684,2025-02-23,706.49,business_entertainment
INV000051,FP202500000051,XX供应商2779,2025-09-02,739.85,business_entertainment
INV000052,FP202500000052,XX供应商6988,2025-04-07,97.5,local_transport
INV000053,FP202500000053,XX供应商3449,2025-04-06,245.24,travel_lodging
INV000054,FP202500000054,XX供应商6377,2025-12-23,553.42,business_entertainment
INV000055,FP202500000055,XX供应商4962,2025-04-03,999.76,business_entertainment
INV000056,FP202500000056,XX供应商4810,2025-03-05,936.71,business_entertainment
INV000057,FP202500000057,XX供应商4915,2025-04-12,821.23,travel_lodging
INV000058,FP202500000058,XX供应商5363,2025-05-27,1405.16,training_fee
INV000059,FP202500000059,XX供应商8609,2025-11-05,1363.42,travel_lodging
INV000060,FP202500000060,XX供应商1485,2025-10-14,1708.73,training_fee
INV000061,FP202500000061,XX供应商3019,2025-06-09,355.16,travel_lodging
INV000062,FP202500000062,XX供应商6950,2025-09-25,551.38,business_entertainment
INV000063,FP202500000063,XX供应商5016,2025-11-20,70.97,local_transport
INV000064,FP202500000064,XX供应商8038,2025-06-21,529.14,travel_lodging
INV000065,FP202500000065,XX供应商8933,2025-01-27,182.64,communication
INV000066,FP202500000066,XX供应商8723,2025-12-02,386.95,office_supplies
INV000067,FP202500000067,XX供应商6445,2025-12-25,148.93,office_supplies
INV000068,FP202500000068,XX供应商2914,2025-03-20,746.29,business_entertainment
INV000069,FP202500000069,XX供应商9240,2025-11-21,600.23,travel_lodging
INV000070,FP202500000070,XX供应商8833,2025-12-05,1393.63,training_fee
INV000071,FP202500000071,XX供应商1877,2025-10-12,289.53,office_supplies
INV000072,FP202500000072,XX供应商6058,2025-01-12,640.93,travel_lodging
INV000073,FP202500000073,XX供应商7916,2025-11-08,337.22,office_supplies
INV000074,FP202500000074,XX供应商8954,2025-09-23,1799.24,training_fee
INV000075,FP202500000075,XX供应商3065,2025-12-03,482.38,travel_lodging
INV000076,FP202500000076,XX供应商8994,2025-02-23,171.38,communication
INV000077,FP202500000077,XX供应商2474,2025-02-01,234.55,travel_lodging
INV000078,FP202500000078,XX供应商8781,2025-10-23,148.33,communication
INV000079,FP202500000079,XX供应商1081,2025-08-30,226.98,office_supplies
INV000080,FP202500000080,XX供应商7114,2025-12-11,516.99,travel_lodging
INV000081,FP202500000081,XX供应商6357,2025-07-28,1654.0,travel_lodging
INV000082,FP202500000082,XX供应商1084,2025-10-05,108.96,communication
INV000083,FP202500000083,XX供应商9547,2025-06-15,136.46,communication
INV000084,FP202500000084,XX供应商4980,2025-07-21,841.38,travel_lodging
INV000085,FP202500000085,XX供应商8916,2025-01-02,634.05,travel_lodging
INV000086,FP202500000086,XX供应商6157,2025-01-29,2106.7,training_fee
INV000087,FP202500000087,XX供应商3442,2025-08-04,810.24,travel_lodging
INV000088,FP202500000088,XX供应商3311,2025-05-25,1148.22,business_entertainment
INV000089,FP202500000089,XX供应商7504,2025-12-29,1322.72,business_entertainment
INV000090,FP202500000090,XX供应商6029,2025-03-01,1574.05,business_entertainment
INV000091,FP202500000091,XX供应商2458,2025-06-09,2778.55,training_fee
INV000092,FP202500000092,XX供应商7305,2025-06-10,1049.43,business_entertainment
INV000093,FP202500000093,XX供应商2940,2025-06-11,120.56,communication
INV000094,FP202500000094,XX供应商6388,2025-03-03,2379.88,training_fee
INV000095,FP202500000095,XX供应商8997,2025-10-06,211.65,travel_lodging
INV000096,FP202500000096,XX供应商5160,2025-03-23,2610.37,training_fee
INV000097,FP202500000097,XX供应商5185,2025-10-15,468.16,office_supplies
INV000098,FP202500000098,XX供应商2784,2025-12-17,302.52,office_supplies
INV000099,FP202500000099,XX供应商4820,2025-12-25,279.18,business_entertainment
INV000100,FP202500000100,XX供应商9831,2025-07-21,277.01,local_transport
INV000101,FP202500000101,XX供应商9062,2025-06-23,175.24,office_supplies
INV000102,FP202500000102,XX供应商9296,2025-10-20,3137.15,training_fee
INV000103,FP202500000103,XX供应商2586,2025-12-18,504.94,business_entertainment
INV000104,FP202500000104,XX供应商3515,2025-03-02,489.0,office_supplies
INV000105,FP202500000105,XX供应商7981,2025-03-03,2910.38,training_fee
INV000106,FP202500000106,XX供应商8260,2025-03-25,604.8,travel_lodging
INV000107,FP202500000107,XX供应商1134,2025-05-20,188.67,communication
INV000108,FP202500000108,XX供应商2139,2025-05-25,375.7,travel_lodging
INV000109,FP202500000109,XX供应商9852,2025-03-18,112.83,communication
INV000110,FP202500000110,XX供应商4985,2025-08-03,493.16,business_entertainment
INV000111,FP202500000111,XX供应商9919,2025-03-31,400.44,travel_lodging
INV000112,FP202500000112,XX供应商1697,2025-03-22,833.0,travel_lodging
INV000113,FP202500000113,XX供应商9744,2025-06-29,399.98,travel_lodging
INV000114,FP202500000114,XX供应商3022,2025-10-12,473.89,office_supplies
INV000115,FP202500000115,XX供应商6796,2025-02-22,157.51,communication
INV000116,FP202500000116,XX供应商1031,2025-10-16,2954.13,training_fee
INV000117,FP202500000117,XX供应商8795,2025-07-16,450.95,office_supplies
INV000118,FP202500000118,XX供应商9214,2025-07-02,724.8,business_entertainment
INV000119,FP202500000119,XX供应商9849,2025-12-30,250.98,local_transport
INV000120,FP202500000120,XX供应商4776,2025-03-24,1173.68,business_entertainment
INV000121,FP202500000121,XX供应商2320,2025-07-11,217.8,communication
INV000122,FP202500000122,XX供应商1536,2025-03-20,463.82,travel_lodging
INV000123,FP202500000123,XX供应商4891,2025-05-26,218.01,office_supplies
INV000124,FP202500000124,XX供应商4032,2025-11-19,442.69,business_entertainment
INV000125,FP202500000125,XX供应商9382,2025-09-07,102.9,local_transport
INV000126,FP202500000126,XX供应商1595,2025-08-09,250.07,local_transport
INV000127,FP202500000127,XX供应商3804,2025-04-17,275.12,communication
INV000128,FP202500000128,XX供应商3844,2025-02-14,178.27,communication
INV000129,FP202500000129,XX供应商1057,2025-10-27,402.35,office_supplies
INV000130,FP202500000130,XX供应商9146,2025-12-03,626.72,travel_lodging
INV000131,FP202500000131,XX供应商6433,2025-09-10,291.23,office_supplies
INV000132,FP202500000132,XX供应商1091,2025-04-19,686.7,travel_lodging
INV000133,FP202500000133,XX供应商1372,2025-11-02,978.52,business_entertainment
INV000134,FP202500000134,XX供应商4439,2025-10-20,674.53,travel_lodging
INV000135,FP202500000135,XX供应商5326,2025-03-12,352.1,office_supplies
INV000136,FP202500000136,XX供应商4406,2025-09-30,192.46,local_transport
INV000137,FP202500000137,XX供应商9825,2025-11-24,213.48,local_transport
INV000138,FP202500000138,XX供应商4097,2025-08-12,255.98,local_transport
INV000139,FP202500000139,XX供应商6034,2025-12-24,451.76,business_entertainment
INV000140,FP202500000140,XX供应商3615,2025-04-08,400.28,office_supplies
INV000141,FP202500000141,XX供应商7418,2025-08-21,533.38,business_entertainment
INV000142,FP202500000142,XX供应商4413,2025-12-18,390.29,travel_lodging
INV000143,FP202500000143,XX供应商6651,2025-07-02,815.99,travel_lodging
INV000144,FP202500000144,XX供应商3747,2025-04-03,916.03,travel_lodging
INV000145,FP202500000145,XX供应商1983,2025-10-20,721.28,business_entertainment
INV000146,FP202500000146,XX供应商3919,2025-11-21,249.65,communication
INV000147,FP202500000147,XX供应商2244,2025-07-23,282.24,travel_lodging
INV000148,FP202500000148,XX供应商3893,2025-12-23,148.6,communication
INV000149,FP202500000149,XX供应商3589,2025-12-29,238.72,office_supplies
INV000150,FP202500000150,XX供应商6053,2025-03-02,293.06,travel_lodging
INV000151,FP202500000151,XX供应商4465,2025-07-24,430.0,business_entertainment
INV000152,FP202500000152,XX供应商8605,2025-04-10,3128.24,training_fee
INV000153,FP202500000153,XX供应商3604,2025-12-08,1692.57,training_fee
INV000154,FP202500000154,XX供应商3224,2025-02-08,250.86,communication
INV000155,FP202500000155,XX供应商6509,2025-12-01,420.56,office_supplies
INV000156,FP202500000156,XX供应商3070,2025-12-06,378.16,office_supplies
INV000157,FP202500000157,XX供应商3011,2025-09-27,62.76,local_transport
INV000158,FP202500000158,XX供应商8110,2025-06-24,124.95,communication
INV000159,FP202500000159,XX供应商2061,2025-08-22,1830.02,training_fee
INV000160,FP202500000160,XX供应商8428,2025-01-07,134.15,communication
INV000161,FP202500000161,XX供应商1435,2025-04-06,431.87,business_entertainment
INV000162,FP202500000162,XX供应商7687,2025-12-02,284.61,office_supplies
INV000163,FP202500000163,XX供应商6368,2025-05-04,195.59,local_transport
INV000164,FP202500000164,XX供应商6667,2025-05-13,516.22,business_entertainment
INV000165,FP202500000165,XX供应商7855,2025-12-12,1378.84,travel_lodging
INV000166,FP202500000166,XX供应商2792,2025-09-09,1101.82,travel_lodging
INV000167,FP202500000167,XX供应商3822,2025-11-22,136.6,communication
INV000168,FP202500000168,XX供应商3875,2025-11-21,181.68,communication
INV000169,FP202500000169,XX供应商6327,2025-04-12,180.54,local_transport
INV000170,FP202500000170,XX供应商1929,2025-03-16,949.02,travel_lodging
INV000171,FP202500000171,XX供应商7629,2025-01-12,1648.48,training_fee
INV000172,FP202500000172,XX供应商3132,2025-02-27,878.47,travel_lodging
INV000173,FP202500000173,XX供应商1404,2025-12-14,216.52,travel_lodging
INV000174,FP202500000174,XX供应商3592,2025-03-03,73.09,local_transport
INV000175,FP202500000175,XX供应商4664,2025-12-19,253.93,office_supplies
INV000176,FP202500000176,XX供应商6569,2025-12-13,669.77,travel_lodging
INV000177,FP202500000177,XX供应商8800,2025-04-20,1839.84,training_fee
INV000178,FP202500000178,XX供应商6962,2025-12-31,190.73,office_supplies
INV000179,FP202500000179,XX供应商1637,2025-11-04,569.87,travel_lodging
INV000180,FP202500000180,XX供应商2262,2025-12-30,2319.41,training_fee
INV000181,FP202500000181,XX供应商9760,2025-01-13,204.69,communication
INV000182,FP202500000182,XX供应商6780,2025-11-12,157.72,communication
INV000183,FP202500000183,XX供应商8689,2025-02-17,517.61,travel_lodging
INV000184,FP202500000184,XX供应商6777,2025-06-03,83.6,local_transport
INV000185,FP202500000185,XX供应商9524,2025-04-07,55.13,local_transport
INV000186,FP202500000186,XX供应商1605,2025-03-16,1741.29,training_fee
INV000187,FP202500000187,XX供应商1260,2025-02-23,1374.44,training_fee
INV000188,FP202500000188,XX供应商7652,2025-11-18,228.3,office_supplies
INV000189,FP202500000189,XX供应商2500,2025-12-23,1209.17,business_entertainment
INV000190,FP202500000190,XX供应商1592,2025-08-21,2636.0,training_fee
INV000191,FP202500000191,XX供应商5171,2025-09-28,207.25,local_transport
INV000192,FP202500000192,XX供应商4930,2025-11-12,972.71,business_entertainment
INV000193,FP202500000193,XX供应商8905,2025-06-05,359.21,office_supplies
INV000194,FP202500000194,XX供应商9447,2025-04-20,3133.28,training_fee
INV000195,FP202500000195,XX供应商5796,2025-05-25,463.84,business_entertainment
INV000196,FP202500000196,XX供应商9552,2025-02-07,484.57,travel_lodging
INV000197,FP202500000197,XX供应商6564,2025-11-16,294.56,local_transport
INV000198,FP202500000198,XX供应商8301,2025-01-22,61.72,local_transport
INV000199,FP202500000199,XX供应商6959,2025-03-31,236.79,travel_lodging
INV000200,FP202500000200,XX供应商1671,2025-07-18,942.44,business_entertainment
INV000201,FP202500000201,XX供应商9657,2025-12-20,401.13,travel_lodging
INV000202,FP202500000202,XX供应商5125,2025-07-15,842.09,travel_lodging
INV000203,FP202500000203,XX供应商5179,2025-02-24,239.98,office_supplies
INV000204,FP202500000204,XX供应商8715,2025-08-05,948.05,business_entertainment
INV000205,FP202500000205,XX供应商6057,2025-10-25,136.47,local_transport
INV000206,FP202500000206,XX供应商6433,2025-06-20,209.38,office_supplies
INV000207,FP202500000207,XX供应商6017,2025-03-09,224.44,communication
INV000208,FP202500000208,XX供应商6885,2025-11-01,121.56,office_supplies
INV000209,FP202500000209,XX供应商9909,2025-05-07,682.24,business_entertainment
INV000210,FP202500000210,XX供应商2750,2025-11-25,153.77,local_transport
INV000211,FP202500000211,XX供应商5445,2025-03-26,1248.72,training_fee
INV000212,FP202500000212,XX供应商9897,2025-06-20,368.99,office_supplies
INV000213,FP202500000213,XX供应商7110,2025-11-29,362.18,travel_lodging
INV000214,FP202500000214,XX供应商7469,2025-11-21,772.95,travel_lodging
INV000215,FP202500000215,XX供应商4079,2025-05-07,424.46,office_supplies
INV000216,FP202500000216,XX供应商6473,2025-02-12,672.39,business_entertainment
INV000217,FP202500000217,XX供应商3937,2025-09-07,3083.18,training_fee
INV000218,FP202500000218,XX供应商9488,2025-12-18,329.98,travel_lodging
INV000219,FP202500000219,XX供应商3760,2025-05-21,415.1,travel_lodging
INV000220,FP202500000220,XX供应商1380,2025-01-06,206.46,communication
INV000221,FP202500000221,XX供应商5266,2025-04-15,1432.67,training_fee
INV000222,FP202500000222,XX供应商1662,2025-06-18,2037.49,training_fee
INV000223,FP202500000223,XX供应商4202,2025-10-18,244.53,travel_lodging
INV000224,FP202500000224,XX供应商9103,2025-08-20,227.14,travel_lodging
INV000225,FP202500000225,XX供应商3504,2025-09-19,215.87,office_supplies
INV000226,FP202500000226,XX供应商7461,2025-12-26,2700.57,training_fee
INV000227,FP202500000227,XX供应商5338,2025-06-28,1804.83,training_fee
INV000228,FP202500000228,XX供应商3639,2025-11-02,222.7,communication
INV000229,FP202500000229,XX供应商3439,2025-01-20,1065.37,business_entertainment
INV000230,FP202500000230,XX供应商1451,2025-07-25,254.77,communication
INV000231,FP202500000231,XX供应商4596,2025-09-12,1382.26,training_fee
INV000232,FP202500000232,XX供应商5232,2025-03-15,122.03,local_transport
INV000233,FP202500000233,XX供应商8778,2025-10-13,96.6,local_transport
INV000234,FP202500000234,XX供应商2793,2025-09-17,1189.63,travel_lodging
INV000235,FP202500000235,XX供应商9131,2025-09-12,1033.94,travel_lodging
INV000236,FP202500000236,XX供应商9073,2025-11-01,76.53,local_transport
INV000237,FP202500000237,XX供应商9517,2025-05-24,145.98,office_supplies
INV000238,FP202500000238,XX供应商4908,2025-11-29,80.38,local_transport
INV000239,FP202500000239,XX供应商1211,2025-03-14,96.73,local_transport
INV000240,FP202500000240,XX供应商9051,2025-11-07,180.26,office_supplies
INV000241,FP202500000241,XX供应商6426,2025-04-09,3125.74,training_fee
INV000242,FP202500000242,XX供应商9921,2025-06-16,2743.26,training_fee
INV000243,FP202500000243,XX供应商6746,2025-04-26,216.99,communication
INV000244,FP202500000244,XX供应商3589,2025-02-25,2050.73,training_fee
INV000245,FP202500000245,XX供应商2580,2025-09-17,668.98,travel_lodging
INV000246,FP202500000246,XX供应商7476,2025-08-26,2167.41,training_fee
INV000247,FP202500000247,XX供应商5580,2025-06-30,1242.4,travel_lodging
INV000248,FP202500000248,XX供应商9681,2025-09-19,213.49,office_supplies
INV000249,FP202500000249,XX供应商7529,2025-12-28,614.11,travel_lodging
INV000250,FP202500000250,XX供应商2283,2025-03-01,2725.19,training_fee
INV000251,FP202500000251,XX供应商1461,2025-09-13,1030.07,travel_lodging
INV000252,FP202500000252,XX供应商9115,2025-01-27,2102.9,training_fee
INV000253,FP202500000253,XX供应商3187,2025-08-08,955.79,business_entertainment
INV000254,FP202500000254,XX供应商2286,2025-12-26,724.22,travel_lodging
INV000255,FP202500000255,XX供应商7954,2025-09-12,245.84,local_transport
INV000256,FP202500000256,XX供应商1071,2025-01-04,1820.24,business_entertainment
INV000257,FP202500000257,XX供应商8737,2025-10-20,2446.66,training_fee
INV000258,FP202500000258,XX供应商9167,2025-05-31,820.33,business_entertainment
INV000259,FP202500000259,XX供应商9667,2025-07-24,174.31,office_supplies
INV000260,FP202500000260,XX供应商3623,2025-05-07,2617.78,training_fee
INV000261,FP202500000261,XX供应商2071,2025-08-05,438.96,travel_lodging
INV000262,FP202500000262,XX供应商1377,2025-12-10,1886.32,training_fee
INV000263,FP202500000263,XX供应商1854,2025-02-19,51.86,local_transport
INV000264,FP202500000264,XX供应商4359,2025-11-05,255.82,communication
INV000265,FP202500000265,XX供应商2493,2025-11-19,59.25,local_transport
INV000266,FP202500000266,XX供应商7560,2025-03-14,304.18,travel_lodging
INV000267,FP202500000267,XX供应商6290,2025-09-16,2108.39,training_fee
INV000268,FP202500000268,XX供应商5571,2025-10-14,257.55,communication
INV000269,FP202500000269,XX供应商8452,2025-11-26,166.07,local_transport
INV000270,FP202500000270,XX供应商1924,2025-03-20,269.75,office_supplies
INV000271,FP202500000271,XX供应商7804,2025-04-13,358.74,office_supplies
INV000272,FP202500000272,XX供应商6980,2025-06-22,370.67,travel_lodging
INV000273,FP202500000273,XX供应商8619,2025-12-17,348.43,business_entertainment
INV000274,FP202500000274,XX供应商2076,2025-11-05,1346.61,travel_lodging
INV000275,FP202500000275,XX供应商4820,2025-07-28,123.38,communication
INV000276,FP202500000276,XX供应商4172,2025-03-30,424.27,travel_lodging
INV000277,FP202500000277,XX供应商2650,2025-12-22,186.39,office_supplies
INV000278,FP202500000278,XX供应商1417,2025-09-16,556.21,travel_lodging
INV000279,FP202500000279,XX供应商5887,2025-06-23,501.76,business_entertainment
INV000280,FP202500000280,XX供应商3829,2025-05-10,80.07,local_transport
INV000281,FP202500000281,XX供应商2844,2025-05-17,151.75,communication
INV000282,FP202500000282,XX供应商3125,2025-10-05,371.27,travel_lodging
INV000283,FP202500000283,XX供应商6079,2025-08-13,2163.6,training_fee
INV000284,FP202500000284,XX供应商9362,2025-08-16,2202.04,training_fee
INV000285,FP202500000285,XX供应商8417,2025-07-24,916.09,business_entertainment
INV000286,FP202500000286,XX供应商1019,2025-03-07,66.57,local_transport
INV000287,FP202500000287,XX供应商6074,2025-03-06,236.98,communication
INV000288,FP202500000288,XX供应商7003,2025-06-26,262.3,office_supplies
INV000289,FP202500000289,XX供应商3651,2025-05-08,395.27,office_supplies
INV000290,FP202500000290,XX供应商7883,2025-01-18,262.78,local_transport
INV000291,FP202500000291,XX供应商5433,2025-03-09,67.84,local_transport
INV000292,FP202500000292,XX供应商5199,2025-04-20,60.94,local_transport
INV000293,FP202500000293,XX供应商7174,2025-11-14,479.14,office_supplies
INV000294,FP202500000294,XX供应商5782,2025-11-11,407.57,office_supplies
INV000295,FP202500000295,XX供应商3834,2025-08-01,178.48,office_supplies
INV000296,FP202500000296,XX供应商2116,2025-06-07,779.89,travel_lodging
INV000297,FP202500000297,XX供应商3080,2025-03-13,3173.9,training_fee
INV000298,FP202500000298,XX供应商4411,2025-06-24,516.71,business_entertainment
INV000299,FP202500000299,XX供应商2592,2025-02-18,428.2,office_supplies
INV000300,FP202500000300,XX供应商5238,2025-07-01,134.0,local_transport
INV000301,FP202500000301,XX供应商7373,2025-09-19,522.35,travel_lodging
INV000302,FP202500000302,XX供应商5141,2025-05-11,536.79,travel_lodging
INV000303,FP202500000303,XX供应商4590,2025-01-13,2295.87,training_fee
INV000304,FP202500000304,XX供应商1992,2025-07-08,591.87,travel_lodging
INV000305,FP202500000305,XX供应商3620,2025-09-17,500.1,business_entertainment
INV000306,FP202500000306,XX供应商4067,2025-03-30,2065.7,training_fee
INV000307,FP202500000307,XX供应商1405,2025-06-15,185.33,office_supplies
INV000308,FP202500000308,XX供应商7811,2025-08-27,1674.98,training_fee
INV000309,FP202500000309,XX供应商9774,2025-07-11,420.59,office_supplies
INV000310,FP202500000310,XX供应商8837,2025-12-22,430.03,office_supplies
INV000311,FP202500000311,XX供应商2411,2025-10-20,2717.9,training_fee
INV000312,FP202500000312,XX供应商4365,2025-09-17,256.9,office_supplies
INV000313,FP202500000313,XX供应商9828,2025-06-05,98.59,local_transport
INV000314,FP202500000314,XX供应商8146,2025-12-05,359.9,travel_lodging
INV000315,FP202500000315,XX供应商7226,2025-11-25,875.34,business_entertainment
INV000316,FP202500000316,XX供应商4859,2025-07-18,254.85,communication
INV000317,FP202500000317,XX供应商9524,2025-03-01,356.17,office_supplies
INV000318,FP202500000318,XX供应商9740,2025-11-28,764.75,business_entertainment
INV000319,FP202500000319,XX供应商6421,2025-03-31,851.71,travel_lodging
INV000320,FP202500000320,XX供应商8904,2025-12-11,1111.66,business_entertainment
INV000321,FP202500000321,XX供应商6325,2025-05-22,1579.96,training_fee
INV000322,FP202500000322,XX供应商8074,2025-07-27,227.81,communication
INV000323,FP202500000323,XX供应商5881,2025-09-21,548.52,travel_lodging
INV000324,FP202500000324,XX供应商2749,2025-07-10,266.61,communication
INV000325,FP202500000325,XX供应商3116,2025-06-09,209.03,communication
INV000326,FP202500000326,XX供应商5372,2025-04-06,253.42,travel_lodging
INV000327,FP202500000327,XX供应商5801,2025-03-20,2996.12,training_fee
INV000328,FP202500000328,XX供应商2410,2025-02-08,1789.19,travel_lodging
INV000329,FP202500000329,XX供应商9914,2025-09-09,52.66,local_transport
INV000330,FP202500000330,XX供应商6223,2025-06-01,377.25,travel_lodging
INV000331,FP202500000331,XX供应商7368,2025-04-24,53.76,local_transport
INV000332,FP202500000332,XX供应商5642,2025-10-11,194.47,office_supplies
INV000333,FP202500000333,XX供应商5126,2025-12-09,52.07,local_transport
INV000334,FP202500000334,XX供应商4034,2025-11-24,347.2,office_supplies
INV000335,FP202500000335,XX供应商6950,2025-12-13,1800.51,training_fee
INV000336,FP202500000336,XX供应商2924,2025-08-04,246.67,communication
INV000337,FP202500000337,XX供应商1541,2025-12-25,369.17,local_transport
INV000338,FP202500000338,XX供应商9459,2025-01-16,173.44,office_supplies
INV000339,FP202500000339,XX供应商1346,2025-01-01,661.56,business_entertainment
INV000340,FP202500000340,XX供应商2918,2025-08-19,453.78,office_supplies
INV000341,FP202500000341,XX供应商3761,2025-03-06,75.23,local_transport
INV000342,FP202500000342,XX供应商2757,2025-11-14,346.56,business_entertainment
INV000343,FP202500000343,XX供应商4453,2025-06-11,173.3,local_transport
INV000344,FP202500000344,XX供应商3540,2025-10-02,242.16,office_supplies
INV000345,FP202500000345,XX供应商7097,2025-02-09,232.0,communication
INV000346,FP202500000346,XX供应商9446,2025-04-25,2077.07,training_fee
INV000347,FP202500000347,XX供应商1187,2025-01-04,212.51,travel_lodging
INV000348,FP202500000348,XX供应商8837,2025-01-23,318.53,travel_lodging
INV000349,FP202500000349,XX供应商3552,2025-06-04,418.52,travel_lodging
INV000350,FP202500000350,XX供应商2762,2025-06-06,108.64,local_transport
INV000351,FP202500000351,XX供应商3167,2025-12-22,839.72,travel_lodging
INV000352,FP202500000352,XX供应商8948,2025-10-28,1918.08,training_fee
INV000353,FP202500000353,XX供应商3175,2025-12-11,128.42,communication
INV000354,FP202500000354,XX供应商1603,2025-08-03,85.39,local_transport
INV000355,FP202500000355,XX供应商6058,2025-06-19,64.39,local_transport
INV000356,FP202500000356,XX供应商9778,2025-07-13,391.15,office_supplies
INV000357,FP202500000357,XX供应商9078,2025-09-12,76.82,local_transport
INV000358,FP202500000358,XX供应商4791,2025-04-10,291.68,local_transport
INV000359,FP202500000359,XX供应商9936,2025-11-04,328.63,local_transport
INV000360,FP202500000360,XX供应商1635,2025-05-10,251.0,communication
INV000361,FP202500000361,XX供应商6388,2025-08-19,1485.1,training_fee
INV000362,FP202500000362,XX供应商3383,2025-04-11,2111.17,training_fee
INV000363,FP202500000363,XX供应商2939,2025-03-12,117.32,communication
INV000364,FP202500000364,XX供应商2285,2025-07-13,766.77,business_entertainment
INV000365,FP202500000365,XX供应商4523,2025-08-05,1249.79,travel_lodging
INV000366,FP202500000366,XX供应商3308,2025-08-13,640.74,business_entertainment
INV000367,FP202500000367,XX供应商7772,2025-01-01,166.16,local_transport
INV000368,FP202500000368,XX供应商5583,2025-02-19,79.76,local_transport
INV000369,FP202500000369,XX供应商8618,2025-12-19,2164.85,travel_lodging
INV000370,FP202500000370,XX供应商3077,2025-04-15,418.63,travel_lodging
INV000371,FP202500000371,XX供应商1759,2025-09-30,2463.93,training_fee
INV000372,FP202500000372,XX供应商6164,2025-12-06,273.9,local_transport
INV000373,FP202500000373,XX供应商5601,2025-09-25,1339.75,business_entertainment
INV000374,FP202500000374,XX供应商1361,2025-10-10,232.63,communication
INV000375,FP202500000375,XX供应商8725,2025-03-23,1427.11,training_fee
INV000376,FP202500000376,XX供应商7087,2025-01-11,213.23,communication
INV000377,FP202500000377,XX供应商2207,2025-08-17,161.74,office_supplies
