approval_id,record_id,tier_id,approver_employee_id,approver_role,approved_at,approval_status
A000072,R000072,AR-01,E0004,部门经理,2025-02-03,approved
A000073,R000073,AR-01,E0009,部门经理,2025-12-11,approved
A000074,R000074,AR-01,E0001,部门经理,2025-10-04,approved
A000075,R000075,AR-01,E0001,部门经理,2025-12-20,approved
A000076,R000076,AR-01,E0001,部门经理,2025-03-06,approved
A000077,R000077,AR-01,E0006,部门经理,2025-03-04,approved
A000078,R000078,AR-01,E0001,部门经理,2025-11-06,approved
A000079,R000079,AR-01,E0001,部门经理,2025-10-21,approved
A000080,R000080,AR-01,E0005,部门经理,2025-12-31,approved
A000081,R000081,AR-01,E0006,部门经理,2025-09-15,approved
A000082,R000082,AR-01,E0007,部门经理,2025-10-17,approved
A000083,R000083,AR-01,E0008,部门经理,2025-07-24,approved
A000084,R000084,AR-01,E0010,部门经理,2025-09-03,approved
A000085,R000085,AR-01,E0006,部门经理,2025-01-28,approved
A000086,R000086,AR-01,E0004,部门经理,2025-02-26,approved
A000087,R000087,AR-01,E0002,部门经理,2025-08-28,approved
A000088,R000088,AR-01,E0005,部门经理,2025-07-02,approved
A000089,R000089,AR-01,E0004,部门经理,2026-01-08,approved
A000090,R000090,AR-01,E0004,部门经理,2025-03-14,approved
A000091,R000091,AR-01,E0008,部门经理,2025-07-03,approved
A000092,R000092,AR-01,E0009,部门经理,2025-06-23,approved
A000093,R000093,AR-01,E0008,部门经理,2025-07-24,approved
A000094,R000094,AR-01,E0005,部门经理,2025-03-20,approved
A000095,R000095,AR-01,E0009,部门经理,2025-12-04,approved
A000096,R000096,AR-01,E0002,部门经理,2025-04-08,approved
A000097,R000097,AR-01,E0001,部门经理,2025-10-31,approved
A000098,R000098,AR-01,E0002,部门经理,2025-12-26,approved
A000099,R000099,AR-01,E0006,部门经理,2025-12-28,approved
A000100,R000100,AR-01,E0004,部门经理,2025-09-19,approved
A000101,R000101,AR-01,E0001,部门经理,2025-06-25,approved
A000102,R000102,AR-02,E0005,部门经理,2025-11-29,approved
A000103,R000103,AR-01,E0005,部门经理,2025-12-19,approved
A000104,R000104,AR-01,E0008,部门经理,2025-04-15,approved
A000105,R000105,AR-01,E0001,部门经理,2025-03-06,approved
A000106,R000106,AR-01,E0005,部门经理,2025-04-19,approved
A000107,R000107,AR-01,E0009,部门经理,2025-07-13,approved
A000108,R000108,AR-01,E0005,部门经理,2025-06-05,approved
A000109,R000109,AR-01,E0008,部门经理,2025-04-20,approved
A000110,R000110,AR-01,E0007,部门经理,2025-09-28,approved
A000111,R000111,AR-01,E0010,部门经理,2025-05-30,approved
A000112,R000112,AR-01,E0008,部门经理,2025-04-05,approved
A000113,R000113,AR-01,E0008,部门经理,2025-07-13,approved
A000114,R000114,AR-01,E0006,部门经理,2025-11-28,approved
A000115,R000115,AR-01,E0009,部门经理,2025-03-17,approved
A000116,R000116,AR-01,E0004,部门经理,2025-12-05,approved
A000117,R000117,AR-01,E0007,部门经理,2025-09-03,approved
A000118,R000118,AR-01,E0009,部门经理,2025-07-21,approved
A000119,R000119,AR-01,E0005,部门经理,2026-01-09,approved
A000120,R000120,AR-01,E0006,部门经理,2025-04-29,approved
A000121,R000121,AR-01,E0001,部门经理,2025-08-01,approved
A000122,R000122,AR-01,E0005,部门经理,2025-04-18,approved
A000123,R000123,AR-01,E0004,部门经理,2025-07-07,approved
A000124,R000124,AR-01,E0009,部门经理,2025-12-03,approved
A000125,R000125,AR-01,E0004,部门经理,2025-09-09,approved
A000126,R000126,AR-01,E0001,部门经理,2025-10-07,approved
A000127,R000127,AR-01,E0005,部门经理,2025-05-02,approved
A000128,R000128,AR-01,E0006,部门经理,2025-03-02,approved
A000129,R000129,AR-01,E0001,部门经理,2025-11-18,approved
A000130,R000130,AR-01,E0010,部门经理,2025-12-17,approved
A000131,R000131,AR-01,E0004,部门经理,2025-10-09,approved
A000132,R000132,AR-01,E0005,部门经理,2025-05-06,approved
A000133,R000133,AR-01,E0010,部门经理,2025-12-17,approved
A000134,R000134,AR-01,E0004,部门经理,2025-11-24,approved
A000135,R000135,AR-01,E0005,部门经理,2025-03-23,approved
A000136,R000136,AR-01,E0005,部门经理,2025-10-02,approved
A000137,R000137,AR-01,E0005,部门经理,2025-12-02,approved
A000138,R000138,AR-01,E0005,部门经理,2025-08-21,approved
A000139,R000139,AR-01,E0004,部门经理,2026-01-04,approved
A000140,R000140,AR-01,E0005,部门经理,2025-05-08,approved
A000141,R000141,AR-01,E0002,部门经理,2025-09-18,approved
A000142,R000142,AR-01,E0005,部门经理,2025-12-25,approved
A000143,R000143,AR-01,E0006,部门经理,2025-08-28,approved
A000144,R000144,AR-01,E0008,部门经理,2025-04-25,approved
A000145,R000145,AR-01,E0001,部门经理,2025-11-03,approved
A000146,R000146,AR-01,E0008,部门经理,2025-11-25,approved
A000147,R000147,AR-01,E0006,部门经理,2025-07-26,approved
A000148,R000148,AR-01,E0002,部门经理,2026-01-11,approved
A000149,R000149,AR-01,E0006,部门经理,2026-01-06,approved
A000150,R000150,AR-01,E0004,部门经理,2025-03-19,approved
A000151,R000151,AR-01,E0006,部门经理,2025-07-25,approved
A000152,R000152,AR-02,E0006,部门经理,2025-06-03,approved
A000153,R000153,AR-01,E0002,部门经理,2026-01-14,approved
A000154,R000154,AR-01,E0007,部门经理,2025-02-24,approved
A000155,R000155,AR-01,E0004,部门经理,2026-01-11,approved
A000156,R000156,AR-01,E0004,部门经理,2025-12-21,approved
A000157,R000157,AR-01,E0007,部门经理,2025-10-13,approved
A000158,R000158,AR-01,E0006,部门经理,2025-07-05,approved
A000159,R000159,AR-01,E0010,部门经理,2025-09-08,approved
A000160,R000160,AR-01,E0007,部门经理,2025-02-23,approved
A000161,R000161,AR-01,E0004,部门经理,2025-04-08,approved
A000162,R000162,AR-01,E0003,部门经理,2025-12-09,approved
A000163,R000163,AR-01,E0003,部门经理,2025-06-19,approved
A000164,R000164,AR-01,E0008,部门经理,2025-06-19,approved
A000165,R000165,AR-01,E0006,部门经理,2026-01-15,approved
A000166,R000166,AR-01,E0008,部门经理,2025-09-19,approved
A000167,R000167,AR-01,E0004,部门经理,2025-12-09,approved
A000168,R000168,AR-01,E0001,部门经理,2025-12-03,approved
A000169,R000169,AR-01,E0004,部门经理,2025-05-18,approved
A000170,R000170,AR-01,E0002,部门经理,2025-04-30,approved
A000171,R000171,AR-01,E0001,部门经理,2025-03-11,approved
A000172,R000172,AR-01,E0006,部门经理,2025-04-25,approved
A000173,R000173,AR-01,E0004,部门经理,2025-12-26,approved
A000174,R000174,AR-01,E0009,部门经理,2025-03-26,approved
A000175,R000175,AR-01,E0001,部门经理,2025-12-21,approved
A000176,R000176,AR-01,E0008,部门经理,2026-01-08,approved
A000177,R000177,AR-01,E0004,部门经理,2025-05-14,approved
A000178,R000178,AR-01,E0008,部门经理,2026-01-03,approved
A000179,R000179,AR-01,E0004,部门经理,2025-11-12,approved
A000180,R000180,AR-01,E0001,部门经理,2026-01-01,approved
A000181,R000181,AR-01,E0007,部门经理,2025-03-06,approved
A000182,R000182,AR-01,E0001,部门经理,2025-11-22,approved
A000183,R000183,AR-01,E0008,部门经理,2025-03-01,approved
A000184,R000184,AR-01,E0006,部门经理,2025-07-11,approved
A000185,R000185,AR-01,E0005,部门经理,2025-05-14,approved
A000186,R000186,AR-01,E0005,部门经理,2025-04-25,approved
A000187,R000187,AR-01,E0008,部门经理,2025-04-17,approved
A000188,R000188,AR-01,E0001,部门经理,2025-12-13,approved
A000189,R000189,AR-01,E0005,部门经理,2025-12-25,approved
A000190,R000190,AR-01,E0005,部门经理,2025-10-17,approved
A000191,R000191,AR-01,E0010,部门经理,2025-10-29,approved
A000192,R000192,AR-01,E0004,部门经理,2026-01-10,approved
A000193,R000193,AR-01,E0005,部门经理,2025-07-07,approved
A000194,R000194,AR-02,E0001,部门经理,2025-06-11,approved
A000195,R000195,AR-01,E0007,部门经理,2025-05-30,approved
A000196,R000196,AR-01,E0004,部门经理,2025-02-21,approved
A000197,R000197,AR-01,E0006,部门经理,2025-11-17,approved
A000198,R000198,AR-01,E0006,部门经理,2025-01-31,approved
A000199,R000199,AR-01,E0006,部门经理,2025-05-27,approved
A000200,R000200,AR-01,E0001,部门经理,2025-07-24,approved
A000201,R000201,AR-01,E0002,部门经理,2025-12-28,approved
A000202,R000202,AR-01,E0009,部门经理,2025-08-25,approved
A000203,R000203,AR-01,E0006,部门经理,2025-04-21,approved
A000204,R000204,AR-01,E0006,部门经理,2025-08-06,approved
A000205,R000205,AR-01,E0008,部门经理,2025-11-20,approved
A000206,R000206,AR-01,E0005,部门经理,2025-07-14,approved
A000207,R000207,AR-01,E0001,部门经理,2025-03-16,approved
A000208,R000208,AR-01,E0001,部门经理,2025-12-11,approved
A000209,R000209,AR-01,E0004,部门经理,2025-06-08,approved
A000210,R000210,AR-01,E0004,部门经理,2025-12-19,approved
A000211,R000211,AR-01,E0004,部门经理,2025-04-16,approved
A000212,R000212,AR-01,E0005,部门经理,2025-06-29,approved
A000213,R000213,AR-01,E0006,部门经理,2025-12-03,approved
A000214,R000214,AR-01,E0003,部门经理,2025-11-24,approved
A000215,R000215,AR-01,E0001,部门经理,2025-05-13,approved
A000216,R000216,AR-01,E0004,部门经理,2025-02-13,approved
A000217,R000217,AR-02,E0006,部门经理,2025-09-24,approved
A000218,R000218,AR-01,E0006,部门经理,2026-01-08,approved
A000219,R000219,AR-01,E0008,部门经理,2025-06-29,approved
A000220,R000220,AR-01,E0006,部门经理,2025-02-14,approved
A000221,R000221,AR-01,E0006,部门经理,2025-04-27,approved
A000222,R000222,AR-01,E0007,部门经理,2025-07-13,approved
A000223,R000223,AR-01,E0001,部门经理,2025-12-01,approved
A000224,R000224,AR-01,E0004,部门经理,2025-09-30,approved
A000225,R000225,AR-01,E0009,部门经理,2025-10-25,approved
A000226,R000226,AR-01,E0006,部门经理,2026-01-11,approved
A000227,R000227,AR-01,E0006,部门经理,2025-07-16,approved
A000228,R000228,AR-01,E0005,部门经理,2025-12-01,approved
A000229,R000229,AR-01,E0010,部门经理,2025-03-09,approved
A000230,R000230,AR-01,E0005,部门经理,2025-08-13,approved
A000231,R000231,AR-01,E0001,部门经理,2025-09-15,approved
A000232,R000232,AR-01,E0007,部门经理,2025-03-27,approved
A000233,R000233,AR-01,E0009,部门经理,2025-11-02,approved
A000234,R000234,AR-01,E0003,部门经理,2025-10-17,approved
A000235,R000235,AR-01,E0009,部门经理,2025-11-08,approved
A000236,R000236,AR-01,E0002,部门经理,2025-11-19,approved
A000237,R000237,AR-01,E0005,部门经理,2025-07-09,approved
A000238,R000238,AR-01,E0007,部门经理,2026-01-05,approved
A000239,R000239,AR-01,E0008,部门经理,2025-03-22,approved
A000240,R000240,AR-01,E0006,部门经理,2026-01-03,approved
A000241,R000241,AR-02,E0006,部门经理,2025-05-04,approved
A000242,R000242,AR-01,E0004,部门经理,2025-06-23,approved
A000243,R000243,AR-01,E0005,部门经理,2025-05-29,approved
A000244,R000244,AR-01,E0005,部门经理,2025-02-28,approved
A000245,R000245,AR-01,E0007,部门经理,2025-10-31,approved
A000246,R000246,AR-01,E0005,部门经理,2025-10-15,approved
A000247,R000247,AR-01,E0007,部门经理,2025-07-09,approved
A000248,R000248,AR-01,E0007,部门经理,2025-11-05,approved
A000249,R000249,AR-01,E0006,部门经理,2026-01-12,approved
A000250,R000250,AR-01,E0001,部门经理,2025-04-13,approved
A000251,R000251,AR-01,E0006,部门经理,2025-10-19,approved
A000252,R000252,AR-01,E0010,部门经理,2025-02-01,approved
A000253,R000253,AR-01,E0005,部门经理,2025-08-31,approved
A000254,R000254,AR-01,E0006,部门经理,2025-12-29,approved
A000255,R000255,AR-01,E0009,部门经理,2025-09-15,approved
A000256,R000256,AR-01,E0006,部门经理,2025-01-31,approved
A000257,R000257,AR-01,E0003,部门经理,2025-11-06,approved
A000258,R000258,AR-01,E0001,部门经理,2025-07-02,approved
A000259,R000259,AR-01,E0001,部门经理,2025-08-09,approved
A000260,R000260,AR-01,E0010,部门经理,2025-06-16,approved
A000261,R000261,AR-01,E0005,部门经理,2025-09-14,approved
A000262,R000262,AR-01,E0006,部门经理,2026-01-06,approved
A000263,R000263,AR-01,E0004,部门经理,2025-03-21,approved
A000264,R000264,AR-01,E0009,部门经理,2025-12-12,approved
A000265,R000265,AR-01,E0004,部门经理,2025-11-28,approved
A000266,R000266,AR-01,E0005,部门经理,2025-04-19,approved
A000267,R000267,AR-01,E0001,部门经理,2025-09-28,approved
A000268,R000268,AR-01,E0010,部门经理,2025-12-12,approved
A000269,R000269,AR-01,E0006,部门经理,2025-11-29,approved
A000270,R000270,AR-01,E0005,部门经理,2025-04-24,approved
A000271,R000271,AR-01,E0006,部门经理,2025-04-14,approved
A000272,R000272,AR-01,E0004,部门经理,2025-08-03,approved
A000273,R000273,AR-01,E0006,部门经理,2026-01-13,approved
A000274,R000274,AR-01,E0005,部门经理,2025-11-12,approved
A000275,R000275,AR-01,E0005,部门经理,2025-08-12,approved
A000276,R000276,AR-01,E0006,部门经理,2025-05-14,approved
A000277,R000277,AR-01,E0004,部门经理,2026-01-11,approved
A000278,R000278,AR-01,E0004,部门经理,2025-11-02,approved
A000279,R000279,AR-01,E0010,部门经理,2025-07-08,approved
A000280,R000280,AR-01,E0006,部门经理,2025-05-25,approved
A000281,R000281,AR-01,E0003,部门经理,2025-07-02,approved
A000282,R000282,AR-01,E0002,部门经理,2025-11-07,approved
A000283,R000283,AR-01,E0001,部门经理,2025-08-15,approved
A000284,R000284,AR-01,E0006,部门经理,2025-08-31,approved
A000285,R000285,AR-01,E0006,部门经理,2025-07-28,approved
A000286,R000286,AR-01,E0001,部门经理,2025-03-10,approved
A000287,R000287,AR-01,E0001,部门经理,2025-04-17,approved
A000288,R000288,AR-01,E0003,部门经理,2025-08-10,approved
A000289,R000289,AR-01,E0009,部门经理,2025-06-01,approved
A000290,R000290,AR-01,E0006,部门经理,2025-01-21,approved
A000291,R000291,AR-01,E0010,部门经理,2025-04-21,approved
A000292,R000292,AR-01,E0003,部门经理,2025-05-02,approved
A000293,R000293,AR-01,E0004,部门经理,2025-12-19,approved
A000294,R000294,AR-01,E0005,部门经理,2026-01-03,approved
A000295,R000295,AR-01,E0004,部门经理,2025-08-22,approved
A000296,R000296,AR-01,E0009,部门经理,2025-07-31,approved
A000297,R000297,AR-02,E0001,部门经理,2025-04-26,approved
A000298,R000298,AR-01,E0005,部门经理,2025-07-10,approved
A000299,R000299,AR-01,E0007,部门经理,2025-03-24,approved
A000300,R000300,AR-01,E0006,部门经理,2025-07-09,approved
A000301,R000301,AR-01,E0006,部门经理,2025-10-06,approved
A000302,R000302,AR-01,E0007,部门经理,2025-05-25,approved
A000303,R000303,AR-01,E0008,部门经理,2025-02-09,approved
A000304,R000304,AR-01,E0005,部门经理,2025-08-05,approved
A000305,R000305,AR-01,E0002,部门经理,2025-11-06,approved
A000306,R000306,AR-01,E0003,部门经理,2025-05-08,approved
A000307,R000307,AR-01,E0002,部门经理,2025-08-06,approved
A000308,R000308,AR-01,E0010,部门经理,2025-08-30,approved
A000309,R000309,AR-01,E0004,部门经理,2025-08-24,approved
A000310,R000310,AR-01,E0009,部门经理,2025-12-30,approved
A000311,R000311,AR-01,E0007,部门经理,2025-12-08,approved
A000312,R000312,AR-01,E0006,部门经理,2025-10-06,approved
A000313,R000313,AR-01,E0010,部门经理,2025-06-09,approved
A000314,R000314,AR-01,E0001,部门经理,2026-01-15,approved
A000315,R000315,AR-01,E0010,部门经理,2026-01-10,approved
A000316,R000316,AR-01,E0008,部门经理,2025-08-25,approved
A000317,R000317,AR-01,E0005,部门经理,2025-03-13,approved
A000318,R000318,AR-01,E0004,部门经理,2025-12-01,approved
A000319,R000319,AR-01,E0001,部门经理,2025-05-19,approved
A000320,R000320,AR-01,E0007,部门经理,2025-12-28,approved
A000321,R000321,AR-01,E0004,部门经理,2025-06-19,approved
A000322,R000322,AR-01,E0004,部门经理,2025-08-04,approved
A000323,R000323,AR-01,E0005,部门经理,2025-11-13,approved
A000324,R000324,AR-01,E0001,部门经理,2025-08-22,approved
A000325,R000325,AR-01,E0008,部门经理,2025-06-23,approved
A000326,R000326,AR-01,E0002,部门经理,2025-04-10,approved
A000327,R000327,AR-01,E0009,部门经理,2025-04-16,approved
A000328,R000328,AR-01,E0007,部门经理,2025-02-25,approved
A000329,R000329,AR-01,E0006,部门经理,2025-10-05,approved
A000330,R000330,AR-01,E0007,部门经理,2025-07-27,approved
A000331,R000331,AR-01,E0004,部门经理,2025-06-11,approved
A000332,R000332,AR-01,E0009,部门经理,2025-10-22,approved
A000333,R000333,AR-01,E0007,部门经理,2026-01-14,approved
A000334,R000334,AR-01,E0009,部门经理,2026-01-07,approved
A000335,R000335,AR-01,E0003,部门经理,2025-12-28,approved
A000336,R000336,AR-01,E0006,部门经理,2025-09-12,approved
A000337,R000337,AR-01,E0005,部门经理,2026-01-10,approved
A000338,R000338,AR-01,E0010,部门经理,2025-02-02,approved
A000339,R000339,AR-01,E0005,部门经理,2025-01-03,approved
A000340,R000340,AR-01,E0006,部门经理,2025-08-27,approved
A000341,R000341,AR-01,E0005,部门经理,2025-03-19,approved
A000342,R000342,AR-01,E0001,部门经理,2026-01-11,approved
A000343,R000343,AR-01,E0006,部门经理,2025-07-05,approved
A000344,R000344,AR-01,E0006,部门经理,2025-11-09,approved
A000345,R000345,AR-01,E0005,部门经理,2025-03-13,approved
A000346,R000346,AR-01,E0004,部门经理,2025-06-04,approved
A000347,R000347,AR-01,E0004,部门经理,2025-01-09,approved
A000348,R000348,AR-01,E0002,部门经理,2025-03-06,approved
A000349,R000349,AR-01,E0007,部门经理,2025-06-05,approved
A000350,R000350,AR-01,E0001,部门经理,2025-07-29,approved
A000351,R000351,AR-01,E0009,部门经理,2025-12-28,approved
A000352,R000352,AR-01,E0005,部门经理,2025-11-02,approved
A000353,R000353,AR-01,E0009,部门经理,2025-12-19,approved
A000354,R000354,AR-01,E0006,部门经理,2025-08-18,approved
A000355,R000355,AR-01,E0009,部门经理,2025-07-09,approved
A000356,R000356,AR-01,E0004,部门经理,2025-08-28,approved
A000357,R000357,AR-01,E0007,部门经理,2025-10-15,approved
A000358,R000358,AR-01,E0006,部门经理,2025-04-21,approved
A000359,R000359,AR-01,E0006,部门经理,2025-12-15,approved
A000360,R000360,AR-01,E0005,部门经理,2025-05-26,approved
A000361,R000361,AR-01,E0003,部门经理,2025-09-04,approved
A000362,R000362,AR-01,E0009,部门经理,2025-04-19,approved
A000363,R000363,AR-01,E0004,部门经理,2025-04-10,approved
A000364,R000364,AR-01,E0010,部门经理,2025-08-15,approved
A000365,R000365,AR-01,E0006,部门经理,2025-08-21,approved
A000366,R000366,AR-01,E0004,部门经理,2025-09-21,approved
A000367,R000367,AR-01,E0004,部门经理,2025-01-21,approved
A000368,R000368,AR-01,E0009,部门经理,2025-03-22,approved
A000369,R000369,AR-01,E0001,部门经理,2026-01-01,approved
A000370,R000370,AR-01,E0002,部门经理,2025-05-01,approved
A000371,R000371,AR-01,E0002,部门经理,2025-11-16,approved
A000372,R000372,AR-01,E0005,部门经理,2025-12-16,approved
A000373,R000373,AR-01,E0007,部门经理,2025-10-10,approved
A000374,R000374,AR-01,E0005,部门经理,2025-11-28,approved
A000375,R000375,AR-01,E0001,部门经理,2025-03-28,approved
A000376,R000376,AR-01,E0006,部门经理,2025-03-05,approved
A000377,R000377,AR-01,E0006,部门经理,2025-10-02,approved
A000378,R000378,AR-01,E0006,部门经理,2025-06-21,approved
A000379,R000379,AR-01,E0006,部门经理,2025-02-24,approved
A000380,R000380,AR-01,E0005,部门经理,2025-03-06,approved
A000381,R000381,AR-01,E0001,部门经理,2025-02-02,approved
A000382,R000382,AR-01,E0006,部门经理,2025-10-18,approved
A000383,R000383,AR-01,E0005,部门经理,2025-03-05,approved
A000384,R000384,AR-01,E0003,部门经理,2025-09-14,approved
A000385,R000385,AR-01,E0004,部门经理,2026-01-08,approved
A000386,R000386,AR-01,E0009,部门经理,2025-12-24,approved
A000387,R000387,AR-01,E0001,部门经理,2025-07-17,approved
A000388,R000388,AR-01,E0004,部门经理,2025-03-26,approved
A000389,R000389,AR-01,E0002,部门经理,2025-07-09,approved
A000390,R000390,AR-01,E0003,部门经理,2025-05-04,approved
A000391,R000391,AR-01,E0009,部门经理,2025-05-22,approved
A000392,R000392,AR-01,E0004,部门经理,2025-06-15,approved
A000393,R000393,AR-01,E0006,部门经理,2026-01-04,approved
A000394,R000394,AR-01,E0006,部门经理,2026-01-01,approved
A000395,R000395,AR-01,E0005,部门经理,2025-04-29,approved
A000396,R000396,AR-01,E0010,部门经理,2025-06-03,approved
A000397,R000397,AR-01,E0004,部门经理,2025-06-05,approved
A000398,R000398,AR-01,E0002,部门经理,2025-12-23,approved
A000399,R000399,AR-01,E0009,部门经理,2025-12-05,approved
A000400,R000400,AR-01,E0003,部门经理,2025-06-04,approved
A000401,R000401,AR-01,E0005,部门经理,2026-01-02,approved
A000402,R000402,AR-01,E0003,部门经理,2025-05-14,approved
A000403,R000403,AR-01,E0001,部门经理,2025-04-15,approved
A000404,R000404,AR-01,E0008,部门经理,2025-02-15,approved
A000405,R000405,AR-01,E0006,部门经理,2025-09-03,approved
A000406,R000406,AR-01,E0005,部门经理,2025-11-29,approved
A000407,R000407,AR-01,E0007,部门经理,2025-06-17,approved
A000408,R000408,AR-01,E0008,部门经理,2025-04-22,approved
A000409,R000409,AR-01,E0001,部门经理,2025-10-31,approved
A000410,R000410,AR-01,E0004,部门经理,2025-08-14,approved
A000411,R000411,AR-01,E0001,部门经理,2025-12-29,approved
A000412,R000412,AR-01,E0008,部门经理,2025-09-17,approved
A000413,R000413,AR-01,E0001,部门经理,2025-05-31,approved
A000414,R000414,AR-01,E0001,部门经理,2025-08-28,approved
A000415,R000415,AR-01,E0002,部门经理,2025-10-17,approved
A000416,R000416,AR-01,E0006,部门经理,2025-07-20,approved
A000417,R000417,AR-01,E0006,部门经理,2025-06-13,approved
A000418,R000418,AR-01,E0004,部门经理,2025-08-18,approved
A000419,R000419,AR-01,E0006,部门经理,2025-12-26,approved
A000420,R000420,AR-01,E0009,部门经理,2025-11-09,approved
A000421,R000421,AR-01,E0009,部门经理,2025-12-17,approved
A000422,R000422,AR-01,E0006,部门经理,2025-12-24,approved
A000423,R000423,AR-01,E0004,部门经理,2025-12-02,approved
A000424,R000424,AR-01,E0001,部门经理,2025-04-16,approved
A000425,R000425,AR-01,E0006,部门经理,2025-06-03,approved
A000426,R000426,AR-01,E0005,部门经理,2025-04-23,approved
A000427,R000427,AR-01,E0010,部门经理,2025-01-22,approved
A000428,R000428,AR-01,E0006,部门经理,2025-07-08,approved
A000429,R000429,AR-01,E0004,部门经理,2025-07-18,approved
A000430,R000430,AR-01,E0003,部门经理,2025-12-25,approved
A000431,R000431,AR-01,E0001,部门经理,2025-11-15,approved
A000432,R000432,AR-01,E0001,部门经理,2025-09-05,approved
A000433,R000433,AR-01,E0004,部门经理,2025-06-11,approved
A000434,R000434,AR-01,E0001,部门经理,2025-11-03,approved
A000435,R000435,AR-01,E0009,部门经理,2025-03-11,approved
