record_id,record_no,employee_id,department_id,expense_date,reimburse_date,expense_type,amount,reason,invoice_id,status,city_tier,nights,days,participants,budget_year,special_approval
R000037,BX2025000037,E0027,D007,2025-03-30,2025-04-20,local_transport,84.72,北辰尽调访谈交通费,INV000037,approved,B,,1,,2025,0
R000038,BX2025000038,E0018,D005,2025-09-16,2025-11-15,office_supplies,390.75,员工工位文具补充费,INV000038,approved,,,,,2025,0
R000039,BX2025000039,E0051,D006,2025-05-30,2025-07-12,travel_lodging,347.8,星河合同资料交接住宿费,INV000039,approved,A,1,,,2025,0
R000040,BX2025000040,E0077,D004,2025-10-12,2025-11-06,training_fee,1684.35,风险识别数据治理课程费,INV000040,approved,,,,,2025,0
R000041,BX2025000041,E0024,D006,2025-04-21,2025-05-13,training_fee,2867.87,运营管理部岗位能力提升培训费,INV000041,approved,,,,,2025,0
R000042,BX2025000042,E0044,D006,2025-07-30,2025-09-15,local_transport,64.35,杭州北辰项目市内交通费,INV000042,approved,B,,1,,2025,0
R000043,BX2025000043,E0036,D010,2025-11-02,2025-12-28,travel_lodging,416.78,清源项目在上海开展尽调期间住宿费,INV000043,approved,A,1,,,2025,0
R000044,BX2025000044,E0042,D008,2025-11-22,2025-12-04,local_transport,54.49,分支机构沟通事项市内交通费,INV000044,approved,B,,1,,2025,0
R000045,BX2025000045,E0025,D001,2025-12-11,2025-12-27,training_fee,2105.26,业务规范合规实务课程费,INV000045,approved,,,,,2025,0
R000046,BX2025000046,E0038,D004,2025-06-19,2025-06-29,business_entertainment,578.36,清源资料确认工作餐费,INV000046,approved,,,,3,2025,0
R000047,BX2025000047,E0041,D005,2025-10-05,2025-12-03,communication,214.51,远航跨部门协作通讯费,INV000047,approved,,,,,2025,0
R000048,BX2025000048,E0048,D005,2025-03-04,2025-04-02,communication,108.49,会议通知通讯费,INV000048,approved,,,,,2025,0
R000049,BX2025000049,E0051,D006,2025-02-06,2025-02-09,business_entertainment,341.89,运营管理部业务交流招待费,INV000049,approved,,,,2,2025,0
R000050,BX2025000050,E0019,D006,2025-02-23,2025-04-22,business_entertainment,706.49,运营管理部合作伙伴会谈招待费,INV000050,approved,,,,4,2025,0
R000051,BX2025000051,E0029,D003,2025-09-02,2025-09-07,business_entertainment,739.85,清源合作事项接待费,INV000051,approved,,,,5,2025,0
R000052,BX2025000052,E0032,D005,2025-04-07,2025-05-13,local_transport,97.5,客户访谈期间市内交通包干,INV000052,approved,B,,1,,2025,0
R000053,BX2025000053,E0073,D004,2025-04-06,2025-04-27,travel_lodging,245.24,合肥客户沟通行程住宿费,INV000053,approved,C,1,,,2025,0
R000054,BX2025000054,E0030,D007,2025-12-23,2026-01-14,business_entertainment,553.42,澄江客户沟通业务招待费,INV000054,approved,,,,3,2025,0
R000055,BX2025000055,E0020,D008,2025-04-03,2025-05-10,business_entertainment,999.76,远航投后沟通招待费,INV000055,approved,,,,4,2025,0
R000056,BX2025000056,E0014,D009,2025-03-05,2025-03-22,business_entertainment,936.71,云帆客户沟通业务招待费,INV000056,approved,,,,5,2025,0
R000057,BX2025000057,E0062,D004,2025-04-12,2025-05-08,travel_lodging,821.23,研究所例行检查赴上海住宿费,INV000057,approved,A,2,,,2025,0
R000058,BX2025000058,E0024,D006,2025-05-27,2025-05-31,training_fee,1405.16,杭州项目管理外部培训费,INV000058,approved,,,,,2025,0
R000059,BX2025000059,E0075,D007,2025-11-05,2025-11-24,travel_lodging,1363.42,信息技术部澄江现场核查住宿费,INV000059,approved,A,2,,,2025,0
R000060,BX2025000060,E0046,D001,2025-10-14,2025-10-29,training_fee,1708.73,新制度宣贯投行业务培训费,INV000060,approved,,,,,2025,0
R000061,BX2025000061,E0034,D005,2025-06-09,2025-07-12,travel_lodging,355.16,远航合同资料交接住宿费,INV000061,approved,B,1,,,2025,0
R000062,BX2025000062,E0028,D009,2025-09-25,2025-11-21,business_entertainment,551.38,财务管理部合作机构接待费,INV000062,approved,,,,3,2025,0
R000063,BX2025000063,E0035,D005,2025-11-20,2026-01-05,local_transport,70.97,机构业务部外勤走访市内交通费,INV000063,approved,A,,1,,2025,0
R000064,BX2025000064,E0030,D007,2025-06-21,2025-07-07,travel_lodging,529.14,赴杭州开展系统上线支持住宿费,INV000064,approved,B,1,,,2025,0
R000065,BX2025000065,E0041,D005,2025-01-27,2025-01-28,communication,182.64,系统上线联络通讯费,INV000065,approved,,,,,2025,0
R000066,BX2025000066,E0036,D010,2025-12-02,2025-12-03,office_supplies,386.95,人力资源部办公用品采购报销,INV000066,approved,,,,,2025,0
R000067,BX2025000067,E0042,D008,2025-12-25,2026-01-12,office_supplies,148.93,青竹项目资料装订用品费,INV000067,approved,,,,,2025,0
R000068,BX2025000068,E0073,D004,2025-03-20,2025-05-06,business_entertainment,746.29,研究所客户活动接待费,INV000068,approved,,,,5,2025,0
R000069,BX2025000069,E0071,D010,2025-11-21,2026-01-02,travel_lodging,600.23,人力资源部澄江现场核查住宿费,INV000069,approved,A,2,,,2025,0
R000070,BX2025000070,E0040,D001,2025-12-05,2026-01-05,training_fee,1393.63,投资银行部信息安全学习费用,INV000070,approved,,,,,2025,0
R000071,BX2025000071,E0049,D006,2025-10-12,2025-10-30,office_supplies,289.53,文件归档装订耗材费,INV000071,approved,,,,,2025,0
R000072,BX2025000072,E0015,D004,2025-01-12,2025-02-03,travel_lodging,640.93,研究所远航现场核查住宿费,INV000072,approved,B,2,,,2025,0
R000073,BX2025000073,E0047,D009,2025-11-08,2025-12-11,office_supplies,337.22,部门月度办公耗材费,INV000073,approved,,,,,2025,0
R000074,BX2025000074,E0033,D001,2025-09-23,2025-10-04,training_fee,1799.24,合规实务认证课程费,INV000074,approved,,,,,2025,0
R000075,BX2025000075,E0033,D001,2025-12-03,2025-12-20,travel_lodging,482.38,澄江现场审阅底稿住宿费,INV000075,approved,C,2,,,2025,0
R000076,BX2025000076,E0074,D001,2025-02-23,2025-03-06,communication,171.38,客户服务电话通讯费,INV000076,approved,,,,,2025,0
R000077,BX2025000077,E0068,D006,2025-02-01,2025-03-04,travel_lodging,234.55,星河材料访谈期间住宿费,INV000077,approved,B,1,,,2025,0
R000078,BX2025000078,E0033,D001,2025-10-23,2025-11-06,communication,148.33,上海现场支持通讯费,INV000078,approved,,,,,2025,0
R000079,BX2025000079,E0067,D001,2025-08-30,2025-10-21,office_supplies,226.98,星河现场办公用品费,INV000079,approved,,,,,2025,0
R000080,BX2025000080,E0018,D005,2025-12-11,2025-12-31,travel_lodging,516.99,北辰项目在上海开展尽调期间住宿费,INV000080,approved,A,1,,,2025,0
R000081,BX2025000081,E0044,D006,2025-07-28,2025-09-15,travel_lodging,1654.0,分支机构走访赴杭州住宿费,INV000081,approved,B,4,,,2025,0
R000082,BX2025000082,E0075,D007,2025-10-05,2025-10-17,communication,108.96,信息技术部客户维护通讯费,INV000082,approved,,,,,2025,0
R000083,BX2025000083,E0050,D008,2025-06-15,2025-07-24,communication,136.46,分支机构协调通讯费,INV000083,approved,,,,,2025,0
R000084,BX2025000084,E0053,D010,2025-07-21,2025-09-03,travel_lodging,841.38,分支机构走访赴合肥住宿费,INV000084,approved,C,3,,,2025,0
R000085,BX2025000085,E0024,D006,2025-01-02,2025-01-28,travel_lodging,634.05,清源专项访谈住宿费,INV000085,approved,B,2,,,2025,0
R000086,BX2025000086,E0073,D004,2025-01-29,2025-02-26,training_fee,2106.7,澄江相关专业能力培训费,INV000086,approved,,,,,2025,0
R000087,BX2025000087,E0069,D002,2025-08-04,2025-08-28,travel_lodging,810.24,云帆材料访谈期间住宿费,INV000087,approved,B,2,,,2025,0
R000088,BX2025000088,E0056,D005,2025-05-25,2025-07-02,business_entertainment,1148.22,机构业务部合作机构接待费,INV000088,approved,,,,5,2025,0
R000089,BX2025000089,E0015,D004,2025-12-29,2026-01-08,business_entertainment,1322.72,分支机构客户交流招待费,INV000089,approved,,,,5,2025,0
R000090,BX2025000090,E0062,D004,2025-03-01,2025-03-14,business_entertainment,1574.05,机构客户会议工作餐费,INV000090,approved,,,,6,2025,0
R000091,BX2025000091,E0016,D008,2025-06-09,2025-07-03,training_fee,2778.55,客户服务信息安全培训费,INV000091,approved,,,,,2025,0
R000092,BX2025000092,E0047,D009,2025-06-10,2025-06-23,business_entertainment,1049.43,云帆合同沟通招待费,INV000092,approved,,,,4,2025,0
R000093,BX2025000093,E0016,D008,2025-06-11,2025-07-24,communication,120.56,北辰需求沟通通讯费,INV000093,approved,,,,,2025,0
R000094,BX2025000094,E0043,D005,2025-03-03,2025-03-20,training_fee,2379.88,项目管理培训课程费,INV000094,approved,,,,,2025,0
R000095,BX2025000095,E0080,D009,2025-10-06,2025-12-04,travel_lodging,211.65,财务管理部北辰现场核查住宿费,INV000095,approved,B,1,,,2025,0
R000096,BX2025000096,E0039,D002,2025-03-23,2025-04-08,training_fee,2610.37,参加客户服务专题培训费,INV000096,approved,,,,,2025,0
R000097,BX2025000097,E0054,D001,2025-10-15,2025-10-31,office_supplies,468.16,员工工位文具补充费,INV000097,approved,,,,,2025,0
R000098,BX2025000098,E0021,D002,2025-12-17,2025-12-26,office_supplies,302.52,业务会议用品费,INV000098,approved,,,,,2025,0
R000099,BX2025000099,E0078,D006,2025-12-25,2025-12-28,business_entertainment,279.18,机构客户会议工作餐费,INV000099,approved,,,,2,2025,0
R000100,BX2025000100,E0063,D004,2025-07-21,2025-09-19,local_transport,277.01,参加上海业务会议市内交通费,INV000100,approved,A,,3,,2025,0
R000101,BX2025000101,E0040,D001,2025-06-23,2025-06-25,office_supplies,175.24,投资银行部办公用品采购报销,INV000101,approved,,,,,2025,0
R000102,BX2025000102,E0035,D005,2025-10-20,2025-11-29,training_fee,3137.15,机构业务部员工客户服务培训费,INV000102,approved,,,,,2025,0
R000103,BX2025000103,E0043,D005,2025-12-18,2025-12-19,business_entertainment,504.94,澄江合作事项接待费,INV000103,approved,,,,3,2025,0
R000104,BX2025000104,E0020,D008,2025-03-02,2025-04-15,office_supplies,489.0,合规风控部办公笔记本采购费,INV000104,approved,,,,,2025,0
R000105,BX2025000105,E0045,D001,2025-03-03,2025-03-06,training_fee,2910.38,投行业务培训课程费,INV000105,approved,,,,,2025,0
R000106,BX2025000106,E0032,D005,2025-03-25,2025-04-19,travel_lodging,604.8,杭州澄江路演支持住宿费,INV000106,approved,B,2,,,2025,0
R000107,BX2025000107,E0028,D009,2025-05-20,2025-07-13,communication,188.67,运营联系通讯费,INV000107,approved,,,,,2025,0
R000108,BX2025000108,E0034,D005,2025-05-25,2025-06-05,travel_lodging,375.7,星河合同资料交接住宿费,INV000108,approved,A,1,,,2025,0
R000109,BX2025000109,E0061,D008,2025-03-18,2025-04-20,communication,112.83,合规风控部日常工作通讯费,INV000109,approved,,,,,2025,0
R000110,BX2025000110,E0027,D007,2025-08-03,2025-09-28,business_entertainment,493.16,客户回访业务招待费,INV000110,approved,,,,2,2025,0
R000111,BX2025000111,E0071,D010,2025-03-31,2025-05-30,travel_lodging,400.44,监管沟通事项赴合肥住宿费,INV000111,approved,C,2,,,2025,0
R000112,BX2025000112,E0050,D008,2025-03-22,2025-04-05,travel_lodging,833.0,合规风控部云帆现场核查住宿费,INV000112,approved,B,1,,,2025,0
R000113,BX2025000113,E0061,D008,2025-06-29,2025-07-13,travel_lodging,399.98,客户服务事项赴杭州出差住宿费,INV000113,approved,B,1,,,2025,0
R000114,BX2025000114,E0019,D006,2025-10-12,2025-11-28,office_supplies,473.89,业务会议用品费,INV000114,approved,,,,,2025,0
R000115,BX2025000115,E0080,D009,2025-02-22,2025-03-17,communication,157.51,杭州现场支持通讯费,INV000115,approved,,,,,2025,0
R000116,BX2025000116,E0063,D004,2025-10-16,2025-12-05,training_fee,2954.13,青竹项目管理培训费,INV000116,approved,,,,,2025,0
R000117,BX2025000117,E0030,D007,2025-07-16,2025-09-03,office_supplies,450.95,日常办公耗材报销,INV000117,approved,,,,,2025,0
R000118,BX2025000118,E0080,D009,2025-07-02,2025-07-21,business_entertainment,724.8,远航资料确认工作餐费,INV000118,approved,,,,4,2025,0
R000119,BX2025000119,E0041,D005,2025-12-30,2026-01-09,local_transport,250.98,业务协同会议市内交通费,INV000119,approved,A,,3,,2025,0
R000120,BX2025000120,E0051,D006,2025-03-24,2025-04-29,business_entertainment,1173.68,合肥业务拜访工作餐费,INV000120,approved,,,,5,2025,0
R000121,BX2025000121,E0040,D001,2025-07-11,2025-08-01,communication,217.8,云帆跨部门协作通讯费,INV000121,approved,,,,,2025,0
R000122,BX2025000122,E0032,D005,2025-03-20,2025-04-18,travel_lodging,463.82,监管沟通事项赴合肥住宿费,INV000122,approved,C,2,,,2025,0
R000123,BX2025000123,E0073,D004,2025-05-26,2025-07-07,office_supplies,218.01,日常办公耗材报销,INV000123,approved,,,,,2025,0
R000124,BX2025000124,E0014,D009,2025-11-19,2025-12-03,business_entertainment,442.69,上海客户拜访工作餐费,INV000124,approved,,,,2,2025,0
R000125,BX2025000125,E0038,D004,2025-09-07,2025-09-09,local_transport,102.9,研究所例行外勤交通费,INV000125,approved,C,,2,,2025,0
R000126,BX2025000126,E0033,D001,2025-08-09,2025-10-07,local_transport,250.07,远航系统测试交通费,INV000126,approved,B,,4,,2025,0
R000127,BX2025000127,E0035,D005,2025-04-17,2025-05-02,communication,275.12,运营联系通讯费,INV000127,approved,,,,,2025,0
R000128,BX2025000128,E0078,D006,2025-02-14,2025-03-02,communication,178.27,运营管理部值班联络通讯费,INV000128,approved,,,,,2025,0
R000129,BX2025000129,E0067,D001,2025-10-27,2025-11-18,office_supplies,402.35,部门共用办公用品费,INV000129,approved,,,,,2025,0
R000130,BX2025000130,E0053,D010,2025-12-03,2025-12-17,travel_lodging,626.72,客户服务事项赴杭州出差住宿费,INV000130,approved,B,2,,,2025,0
R000131,BX2025000131,E0023,D004,2025-09-10,2025-10-09,office_supplies,291.23,文件归档装订耗材费,INV000131,approved,,,,,2025,0
R000132,BX2025000132,E0034,D005,2025-04-19,2025-05-06,travel_lodging,686.7,合肥分支机构培训支持住宿费,INV000132,approved,C,3,,,2025,0
R000133,BX2025000133,E0036,D010,2025-11-02,2025-12-17,business_entertainment,978.52,重点客户维护业务招待费,INV000133,approved,,,,4,2025,0
R000134,BX2025000134,E0038,D004,2025-10-20,2025-11-24,travel_lodging,674.53,北辰现场审阅底稿住宿费,INV000134,approved,C,2,,,2025,0
R000135,BX2025000135,E0032,D005,2025-03-12,2025-03-23,office_supplies,352.1,远航资料袋采购费,INV000135,approved,,,,,2025,0
R000136,BX2025000136,E0034,D005,2025-09-30,2025-10-02,local_transport,192.46,青竹尽调访谈交通费,INV000136,approved,B,,2,,2025,0
R000137,BX2025000137,E0034,D005,2025-11-24,2025-12-02,local_transport,213.48,杭州材料补充交通费,INV000137,approved,B,,3,,2025,0
R000138,BX2025000138,E0032,D005,2025-08-12,2025-08-21,local_transport,255.98,合肥客户服务交通费,INV000138,approved,C,,4,,2025,0
R000139,BX2025000139,E0073,D004,2025-12-24,2026-01-04,business_entertainment,451.76,远航资料确认工作餐费,INV000139,approved,,,,3,2025,0
R000140,BX2025000140,E0018,D005,2025-04-08,2025-05-08,office_supplies,400.28,日常办公耗材报销,INV000140,approved,,,,,2025,0
R000141,BX2025000141,E0079,D002,2025-08-21,2025-09-18,business_entertainment,533.38,上海业务拜访工作餐费,INV000141,approved,,,,2,2025,0
R000142,BX2025000142,E0034,D005,2025-12-18,2025-12-25,travel_lodging,390.29,赴上海参加业务协调会住宿费,INV000142,approved,A,1,,,2025,0
R000143,BX2025000143,E0024,D006,2025-07-02,2025-08-28,travel_lodging,815.99,赴上海参加清源专项会议住宿费,INV000143,approved,A,2,,,2025,0
R000144,BX2025000144,E0016,D008,2025-04-03,2025-04-25,travel_lodging,916.03,赴杭州参加云帆专项会议住宿费,INV000144,approved,B,2,,,2025,0
R000145,BX2025000145,E0040,D001,2025-10-20,2025-11-03,business_entertainment,721.28,机构客户会议工作餐费,INV000145,approved,,,,3,2025,0
R000146,BX2025000146,E0061,D008,2025-11-21,2025-11-25,communication,249.65,系统上线联络通讯费,INV000146,approved,,,,,2025,0
R000147,BX2025000147,E0078,D006,2025-07-23,2025-07-26,travel_lodging,282.24,清源现场验收住宿费,INV000147,approved,B,1,,,2025,0
R000148,BX2025000148,E0039,D002,2025-12-23,2026-01-11,communication,148.6,云帆跨部门协作通讯费,INV000148,approved,,,,,2025,0
R000149,BX2025000149,E0019,D006,2025-12-29,2026-01-06,office_supplies,238.72,部门月度办公耗材费,INV000149,approved,,,,,2025,0
R000150,BX2025000150,E0073,D004,2025-03-02,2025-03-19,travel_lodging,293.06,青竹专项访谈住宿费,INV000150,approved,A,1,,,2025,0
R000151,BX2025000151,E0078,D006,2025-07-24,2025-07-25,business_entertainment,430.0,运营管理部合作伙伴会谈招待费,INV000151,approved,,,,2,2025,0
R000152,BX2025000152,E0065,D006,2025-04-10,2025-06-03,training_fee,3128.24,杭州集中培训课程费,INV000152,approved,,,,,2025,0
R000153,BX2025000153,E0069,D002,2025-12-08,2026-01-14,training_fee,1692.57,固定收益部岗位能力提升培训费,INV000153,approved,,,,,2025,0
R000154,BX2025000154,E0075,D007,2025-02-08,2025-02-24,communication,250.86,上海外勤期间通讯费,INV000154,approved,,,,,2025,0
R000155,BX2025000155,E0063,D004,2025-12-01,2026-01-11,office_supplies,420.56,研究所档案整理耗材费,INV000155,approved,,,,,2025,0
R000156,BX2025000156,E0015,D004,2025-12-06,2025-12-21,office_supplies,378.16,研究所文件夹和标签耗材费,INV000156,approved,,,,,2025,0
R000157,BX2025000157,E0058,D007,2025-09-27,2025-10-13,local_transport,62.76,参加合肥业务会议市内交通费,INV000157,approved,C,,1,,2025,0
R000158,BX2025000158,E0068,D006,2025-06-24,2025-07-05,communication,124.95,启明项目沟通通讯费,INV000158,approved,,,,,2025,0
R000159,BX2025000159,E0036,D010,2025-08-22,2025-09-08,training_fee,1830.02,人力资源部专业技能培训费,INV000159,approved,,,,,2025,0
R000160,BX2025000160,E0027,D007,2025-01-07,2025-02-23,communication,134.15,运营联系通讯费,INV000160,approved,,,,,2025,0
R000161,BX2025000161,E0073,D004,2025-04-06,2025-04-08,business_entertainment,431.87,机构客户会议工作餐费,INV000161,approved,,,,2,2025,0
R000162,BX2025000162,E0029,D003,2025-12-02,2025-12-09,office_supplies,284.61,部门共用办公用品费,INV000162,approved,,,,,2025,0
R000163,BX2025000163,E0066,D003,2025-05-04,2025-06-19,local_transport,195.59,分支机构培训支持交通费,INV000163,approved,A,,2,,2025,0
R000164,BX2025000164,E0061,D008,2025-05-13,2025-06-19,business_entertainment,516.22,远航合同沟通招待费,INV000164,approved,,,,3,2025,0
R000165,BX2025000165,E0044,D006,2025-12-12,2026-01-15,travel_lodging,1378.84,澄江专项访谈住宿费,INV000165,approved,A,2,,,2025,0
R000166,BX2025000166,E0061,D008,2025-09-09,2025-09-19,travel_lodging,1101.82,上海分支机构培训支持住宿费,INV000166,approved,A,3,,,2025,0
R000167,BX2025000167,E0038,D004,2025-11-22,2025-12-09,communication,136.6,监管沟通事项通讯费,INV000167,approved,,,,,2025,0
R000168,BX2025000168,E0067,D001,2025-11-21,2025-12-03,communication,181.68,投资银行部客户维护通讯费,INV000168,approved,,,,,2025,0
R000169,BX2025000169,E0015,D004,2025-04-12,2025-05-18,local_transport,180.54,项目底稿交接交通费,INV000169,approved,A,,2,,2025,0
R000170,BX2025000170,E0069,D002,2025-03-16,2025-04-30,travel_lodging,949.02,星河投后跟踪现场住宿费,INV000170,approved,B,2,,,2025,0
R000171,BX2025000171,E0046,D001,2025-01-12,2025-03-11,training_fee,1648.48,投资银行部岗位能力提升培训费,INV000171,approved,,,,,2025,0
R000172,BX2025000172,E0044,D006,2025-02-27,2025-04-25,travel_lodging,878.47,赴杭州开展系统上线支持住宿费,INV000172,approved,B,2,,,2025,0
R000173,BX2025000173,E0073,D004,2025-12-14,2025-12-26,travel_lodging,216.52,研究所例行检查赴杭州住宿费,INV000173,approved,B,1,,,2025,0
R000174,BX2025000174,E0047,D009,2025-03-03,2025-03-26,local_transport,73.09,北辰现场巡检交通费,INV000174,approved,B,,1,,2025,0
R000175,BX2025000175,E0033,D001,2025-12-19,2025-12-21,office_supplies,253.93,青竹会议材料打印用品费,INV000175,approved,,,,,2025,0
R000176,BX2025000176,E0020,D008,2025-12-13,2026-01-08,travel_lodging,669.77,清源投后跟踪现场住宿费,INV000176,approved,B,2,,,2025,0
R000177,BX2025000177,E0026,D004,2025-04-20,2025-05-14,training_fee,1839.84,参加数据治理专题培训费,INV000177,approved,,,,,2025,0
R000178,BX2025000178,E0016,D008,2025-12-31,2026-01-03,office_supplies,190.73,合规风控部办公用品采购报销,INV000178,approved,,,,,2025,0
R000179,BX2025000179,E0077,D004,2025-11-04,2025-11-12,travel_lodging,569.87,监管沟通事项赴合肥住宿费,INV000179,approved,C,2,,,2025,0
R000180,BX2025000180,E0074,D001,2025-12-30,2026-01-01,training_fee,2319.41,业务规范数据治理课程费,INV000180,approved,,,,,2025,0
R000181,BX2025000181,E0075,D007,2025-01-13,2025-03-06,communication,204.69,信息技术部客户维护通讯费,INV000181,approved,,,,,2025,0
R000182,BX2025000182,E0067,D001,2025-11-12,2025-11-22,communication,157.72,投资银行部员工通讯费报销,INV000182,approved,,,,,2025,0
R000183,BX2025000183,E0061,D008,2025-02-17,2025-03-01,travel_lodging,517.61,上海云帆路演支持住宿费,INV000183,approved,A,1,,,2025,0
R000184,BX2025000184,E0078,D006,2025-06-03,2025-07-11,local_transport,83.6,合肥监管沟通交通费,INV000184,approved,C,,2,,2025,0
R000185,BX2025000185,E0048,D005,2025-04-07,2025-05-14,local_transport,55.13,合同签署事项市内交通费,INV000185,approved,C,,1,,2025,0
R000186,BX2025000186,E0043,D005,2025-03-16,2025-04-25,training_fee,1741.29,合规要求投行业务学习费,INV000186,approved,,,,,2025,0
R000187,BX2025000187,E0037,D008,2025-02-23,2025-04-17,training_fee,1374.44,信息安全线上课程学习费,INV000187,approved,,,,,2025,0
R000188,BX2025000188,E0074,D001,2025-11-18,2025-12-13,office_supplies,228.3,投资银行部硒鼓和纸张费用,INV000188,approved,,,,,2025,0
R000189,BX2025000189,E0032,D005,2025-12-23,2025-12-25,business_entertainment,1209.17,机构客户会议工作餐费,INV000189,approved,,,,5,2025,0
R000190,BX2025000190,E0048,D005,2025-08-21,2025-10-17,training_fee,2636.0,客户服务线上课程学习费,INV000190,approved,,,,,2025,0
