record_id,employee_id,department_id,expense_date,reimburse_date,expense_type,amount,city_tier,nights,days,participants,special_approval,status,budget_year,invoice_no,vendor_name,invoice_date,employee_level,emp_dept_id,department_name,annual_budget
R001877,E0022,D007,2025-01-28,2025-02-23,business_entertainment,347.16,,,,2,0,approved,2025,FP202500001877,"XX供应商1352",2025-01-28,D1,D007,"信息技术部",301500.0
R004183,E0025,D001,2025-01-15,2025-02-23,business_entertainment,1341.89,,,,5,0,approved,2025,FP202500004183,"XX供应商4396",2025-01-15,E1,D001,"投资银行部",230395.17
R003606,E0035,D005,2025-02-04,2025-02-24,business_entertainment,812.95,,,,4,0,approved,2025,FP202500003606,"XX供应商2787",2025-02-04,M1,D005,"机构业务部",278540.94
R000982,E0059,D006,2025-01-06,2025-02-25,business_entertainment,1283.29,,,,5,0,approved,2025,FP202500000982,"XX供应商8497",2025-01-06,E1,D006,"运营管理部",340961.75
R001297,E0022,D007,2025-02-24,2025-02-25,business_entertainment,1030.04,,,,4,0,approved,2025,FP202500001297,"XX供应商8162",2025-02-24,D1,D007,"信息技术部",301500.0
R002324,E0019,D006,2025-02-15,2025-02-26,business_entertainment,1307.69,,,,5,0,approved,2025,FP202500002324,"XX供应商4341",2025-02-15,M1,D006,"运营管理部",340961.75
R003746,E0045,D001,2025-01-09,2025-02-26,business_entertainment,1492.6,,,,7,0,approved,2025,FP202500003746,"XX供应商8365",2025-01-09,E1,D001,"投资银行部",230395.17
R002562,E0062,D004,2025-02-05,2025-02-27,business_entertainment,790.82,,,,4,0,approved,2025,FP202500002562,"XX供应商3830",2025-02-05,E1,D004,"研究所",264890.39
R002884,E0040,D001,2025-01-08,2025-02-28,business_entertainment,651.23,,,,3,0,approved,2025,FP202500002884,"XX供应商3021",2025-01-08,D1,D001,"投资银行部",230395.17
R000740,E0017,D003,2025-02-14,2025-03-02,business_entertainment,559.73,,,,4,0,approved,2025,FP202500000740,"XX供应商2962",2025-02-14,D1,D003,"财富管理部",109772.07
R000759,E0038,D004,2025-01-04,2025-03-02,business_entertainment,509.46,,,,2,0,approved,2025,FP202500000759,"XX供应商7623",2025-01-04,M1,D004,"研究所",264890.39
R001571,E0044,D006,2025-02-02,2025-03-02,business_entertainment,1016.62,,,,6,0,approved,2025,FP202500001571,"XX供应商8255",2025-02-02,D1,D006,"运营管理部",340961.75
R002972,E0052,D003,2025-01-17,2025-03-02,business_entertainment,927.15,,,,4,0,approved,2025,FP202500002972,"XX供应商1132",2025-01-17,M1,D003,"财富管理部",109772.07
R003978,E0020,D008,2025-02-17,2025-03-03,business_entertainment,521.41,,,,3,0,approved,2025,FP202500003978,"XX供应商1743",2025-02-17,E1,D008,"合规风控部",381600.0
R003513,E0067,D001,2025-02-22,2025-03-04,business_entertainment,605.54,,,,3,0,approved,2025,FP202500003513,"XX供应商8306",2025-02-22,M1,D001,"投资银行部",230395.17
R000581,E0027,D007,2025-01-24,2025-03-05,business_entertainment,649.07,,,,4,0,approved,2025,FP202500000581,"XX供应商6848",2025-01-24,D1,D007,"信息技术部",301500.0
R001067,E0049,D006,2025-02-16,2025-03-05,business_entertainment,671.62,,,,3,0,approved,2025,FP202500001067,"XX供应商9956",2025-02-16,E1,D006,"运营管理部",340961.75
R003534,E0034,D005,2025-01-19,2025-03-05,business_entertainment,424.52,,,,3,0,approved,2025,FP202500003534,"XX供应商4602",2025-01-19,E1,D005,"机构业务部",278540.94
R003565,E0078,D006,2025-02-01,2025-03-06,business_entertainment,702.75,,,,3,0,approved,2025,FP202500003565,"XX供应商7360",2025-02-01,E1,D006,"运营管理部",340961.75
R001843,E0033,D001,2025-01-12,2025-03-08,business_entertainment,818.23,,,,5,0,approved,2025,FP202500001843,"XX供应商4654",2025-01-12,E1,D001,"投资银行部",230395.17
R004031,E0076,D006,2025-02-03,2025-03-08,business_entertainment,732.18,,,,4,0,approved,2025,FP202500004031,"XX供应商6794",2025-02-03,E1,D006,"运营管理部",340961.75
R000229,E0071,D010,2025-01-20,2025-03-09,business_entertainment,1065.37,,,,7,0,approved,2025,FP202500000229,"XX供应商3439",2025-01-20,E1,D010,"人力资源部",164500.0
R002589,E0018,D005,2025-01-09,2025-03-09,business_entertainment,1008.69,,,,6,0,approved,2025,FP202500002589,"XX供应商2185",2025-01-09,M1,D005,"机构业务部",278540.94
R000983,E0049,D006,2025-02-09,2025-03-10,business_entertainment,320.42,,,,2,0,approved,2025,FP202500000983,"XX供应商1936",2025-02-09,E1,D006,"运营管理部",340961.75
R001262,E0068,D006,2025-02-23,2025-03-10,business_entertainment,626.64,,,,4,0,approved,2025,FP202500001262,"XX供应商4941",2025-02-23,E1,D006,"运营管理部",340961.75
R003301,E0064,D004,2025-01-14,2025-03-10,business_entertainment,304.1,,,,2,0,approved,2025,FP202500003301,"XX供应商8746",2025-01-14,E1,D004,"研究所",264890.39
R003343,E0074,D001,2025-01-14,2025-03-10,business_entertainment,581.68,,,,4,0,approved,2025,FP202500003343,"XX供应商2343",2025-01-14,E1,D001,"投资银行部",230395.17
R001646,E0033,D001,2025-01-21,2025-03-13,business_entertainment,985.95,,,,5,0,approved,2025,FP202500001646,"XX供应商1223",2025-01-21,E1,D001,"投资银行部",230395.17
R003834,E0059,D006,2025-02-20,2025-03-13,business_entertainment,1115.64,,,,5,0,approved,2025,FP202500003834,"XX供应商5326",2025-02-20,E1,D006,"运营管理部",340961.75
R003969,E0068,D006,2025-01-13,2025-03-13,business_entertainment,631.75,,,,4,0,approved,2025,FP202500003969,"XX供应商6273",2025-01-13,E1,D006,"运营管理部",340961.75
R000090,E0062,D004,2025-03-01,2025-03-14,business_entertainment,1574.05,,,,6,0,approved,2025,FP202500000090,"XX供应商6029",2025-03-01,E1,D004,"研究所",264890.39
R003057,E0048,D005,2025-02-07,2025-03-14,business_entertainment,893.55,,,,4,0,approved,2025,FP202500003057,"XX供应商4709",2025-02-07,M1,D005,"机构业务部",278540.94
R001179,E0015,D004,2025-01-29,2025-03-16,business_entertainment,1246.94,,,,6,0,approved,2025,FP202500001179,"XX供应商8300",2025-01-29,E1,D004,"研究所",264890.39
R003375,E0024,D006,2025-01-18,2025-03-16,business_entertainment,978.79,,,,4,0,approved,2025,FP202500003375,"XX供应商1423",2025-01-18,E1,D006,"运营管理部",340961.75
R003698,E0076,D006,2025-03-01,2025-03-16,business_entertainment,1163.17,,,,7,0,approved,2025,FP202500003698,"XX供应商4006",2025-03-01,E1,D006,"运营管理部",340961.75
R000936,E0038,D004,2025-03-03,2025-03-17,business_entertainment,1016.14,,,,4,0,approved,2025,FP202500000936,"XX供应商6292",2025-03-03,M1,D004,"研究所",264890.39
R002269,E0028,D009,2025-02-21,2025-03-17,business_entertainment,707.55,,,,3,0,approved,2025,FP202500002269,"XX供应商8823",2025-02-21,E1,D009,"财务管理部",191300.0
R004015,E0020,D008,2025-03-13,2025-03-17,business_entertainment,1177.71,,,,5,0,approved,2025,FP202500004015,"XX供应商6174",2025-03-13,E1,D008,"合规风控部",381600.0
R001496,E0077,D004,2025-02-01,2025-03-19,business_entertainment,876.03,,,,4,0,approved,2025,FP202500001496,"XX供应商3780",2025-02-01,E1,D004,"研究所",264890.39
R001813,E0017,D003,2025-01-27,2025-03-19,business_entertainment,435.03,,,,3,0,approved,2025,FP202500001813,"XX供应商4634",2025-01-27,D1,D003,"财富管理部",109772.07
R002345,E0025,D001,2025-03-15,2025-03-19,business_entertainment,577.74,,,,4,0,approved,2025,FP202500002345,"XX供应商5922",2025-03-15,E1,D001,"投资银行部",230395.17
R001313,E0014,D009,2025-03-07,2025-03-20,business_entertainment,602.98,,,,3,0,approved,2025,FP202500001313,"XX供应商1418",2025-03-07,M1,D009,"财务管理部",191300.0
R003340,E0058,D007,2025-03-18,2025-03-20,business_entertainment,285.14,,,,2,0,approved,2025,FP202500003340,"XX供应商9653",2025-03-18,E1,D007,"信息技术部",301500.0
R001989,E0062,D004,2025-03-19,2025-03-21,business_entertainment,698.93,,,,3,0,approved,2025,FP202500001989,"XX供应商1413",2025-03-19,E1,D004,"研究所",264890.39
R000056,E0014,D009,2025-03-05,2025-03-22,business_entertainment,936.71,,,,5,0,approved,2025,FP202500000056,"XX供应商4810",2025-03-05,M1,D009,"财务管理部",191300.0
R000722,E0037,D008,2025-02-03,2025-03-22,business_entertainment,835.72,,,,6,0,approved,2025,FP202500000722,"XX供应商3161",2025-02-03,E1,D008,"合规风控部",381600.0
R001326,E0016,D008,2025-01-24,2025-03-23,business_entertainment,819.71,,,,4,0,approved,2025,FP202500001326,"XX供应商6868",2025-01-24,M1,D008,"合规风控部",381600.0
R003715,E0071,D010,2025-03-11,2025-03-23,business_entertainment,836.88,,,,4,0,approved,2025,FP202500003715,"XX供应商5835",2025-03-11,E1,D010,"人力资源部",164500.0
R001185,E0077,D004,2025-02-07,2025-03-24,business_entertainment,1011.91,,,,6,0,approved,2025,FP202500001185,"XX供应商9681",2025-02-07,E1,D004,"研究所",264890.39
R002123,E0036,D010,2025-02-19,2025-03-24,business_entertainment,1047.94,,,,5,0,approved,2025,FP202500002123,"XX供应商5474",2025-02-19,E1,D010,"人力资源部",164500.0
R003584,E0036,D010,2025-03-23,2025-03-24,business_entertainment,1618.61,,,,7,0,approved,2025,FP202500003584,"XX供应商8207",2025-03-23,E1,D010,"人力资源部",164500.0
R004148,E0019,D006,2025-03-18,2025-03-24,business_entertainment,780.23,,,,3,0,approved,2025,FP202500004148,"XX供应商2920",2025-03-18,M1,D006,"运营管理部",340961.75
R001182,E0070,D006,2025-03-14,2025-03-25,business_entertainment,835.13,,,,4,0,approved,2025,FP202500001182,"XX供应商3844",2025-03-14,E1,D006,"运营管理部",340961.75
R001541,E0019,D006,2025-03-08,2025-03-25,business_entertainment,672.72,,,,4,0,approved,2025,FP202500001541,"XX供应商8238",2025-03-08,M1,D006,"运营管理部",340961.75
R001911,E0066,D003,2025-03-19,2025-03-25,business_entertainment,1216.27,,,,7,0,approved,2025,FP202500001911,"XX供应商4609",2025-03-19,M1,D003,"财富管理部",109772.07
R002253,E0054,D001,2025-03-18,2025-03-25,business_entertainment,728.14,,,,4,0,approved,2025,FP202500002253,"XX供应商7339",2025-03-18,E1,D001,"投资银行部",230395.17
R000388,E0038,D004,2025-03-24,2025-03-26,business_entertainment,525.7,,,,2,0,approved,2025,FP202500000388,"XX供应商1131",2025-03-24,M1,D004,"研究所",264890.39
R000507,E0057,D005,2025-03-24,2025-03-26,business_entertainment,333.04,,,,2,0,approved,2025,FP202500000507,"XX供应商8442",2025-03-24,E1,D005,"机构业务部",278540.94
R000701,E0018,D005,2025-02-17,2025-03-26,business_entertainment,829.44,,,,6,0,approved,2025,FP202500000701,"XX供应商2052",2025-02-17,M1,D005,"机构业务部",278540.94
R001655,E0025,D001,2025-02-23,2025-03-27,business_entertainment,843.86,,,,6,0,approved,2025,FP202500001655,"XX供应商4257",2025-02-23,E1,D001,"投资银行部",230395.17
R003503,E0079,D002,2025-03-09,2025-03-29,business_entertainment,427.29,,,,3,0,approved,2025,FP202500003503,"XX供应商5329",2025-03-09,M1,D002,"固定收益部",107785.42
R002928,E0038,D004,2025-02-17,2025-03-30,business_entertainment,563.21,,,,3,0,approved,2025,FP202500002928,"XX供应商5604",2025-02-17,M1,D004,"研究所",264890.39
R000861,E0049,D006,2025-03-15,2025-03-31,business_entertainment,432.41,,,,3,0,approved,2025,FP202500000861,"XX供应商8275",2025-03-15,E1,D006,"运营管理部",340961.75
R002060,E0056,D005,2025-02-11,2025-03-31,business_entertainment,647.24,,,,3,0,approved,2025,FP202500002060,"XX供应商6088",2025-02-11,D1,D005,"机构业务部",278540.94
R000462,E0041,D005,2025-02-22,2025-04-01,business_entertainment,1159.22,,,,5,0,approved,2025,FP202500000462,"XX供应商1711",2025-02-22,E1,D005,"机构业务部",278540.94
R002656,E0026,D004,2025-02-03,2025-04-01,business_entertainment,690.67,,,,4,0,approved,2025,FP202500002656,"XX供应商1183",2025-02-03,E1,D004,"研究所",264890.39
R003847,E0069,D002,2025-03-03,2025-04-01,business_entertainment,593.66,,,,4,0,approved,2025,FP202500003847,"XX供应商2951",2025-03-03,M1,D002,"固定收益部",107785.42
R003438,E0048,D005,2025-02-22,2025-04-03,business_entertainment,649.29,,,,3,0,approved,2025,FP202500003438,"XX供应商6144",2025-02-22,M1,D005,"机构业务部",278540.94
R001245,E0041,D005,2025-03-04,2025-04-05,business_entertainment,628.57,,,,4,0,approved,2025,FP202500001245,"XX供应商3235",2025-03-04,E1,D005,"机构业务部",278540.94
R003023,E0050,D008,2025-03-24,2025-04-05,business_entertainment,460.59,,,,3,0,approved,2025,FP202500003023,"XX供应商4622",2025-03-24,X1,D008,"合规风控部",381600.0
R002154,E0028,D009,2025-03-31,2025-04-06,business_entertainment,682.07,,,,4,0,approved,2025,FP202500002154,"XX供应商5199",2025-03-31,E1,D009,"财务管理部",191300.0
R002365,E0076,D006,2025-03-24,2025-04-06,business_entertainment,402.62,,,,2,0,approved,2025,FP202500002365,"XX供应商8349",2025-03-24,E1,D006,"运营管理部",340961.75
R000943,E0037,D008,2025-02-06,2025-04-07,business_entertainment,348.08,,,,2,0,approved,2025,FP202500000943,"XX供应商4019",2025-02-06,E1,D008,"合规风控部",381600.0
R001570,E0026,D004,2025-03-12,2025-04-07,business_entertainment,845.91,,,,6,0,approved,2025,FP202500001570,"XX供应商4326",2025-03-12,E1,D004,"研究所",264890.39
R003614,E0016,D008,2025-03-03,2025-04-07,business_entertainment,502.96,,,,2,0,approved,2025,FP202500003614,"XX供应商9888",2025-03-03,M1,D008,"合规风控部",381600.0
R000161,E0073,D004,2025-04-06,2025-04-08,business_entertainment,431.87,,,,2,0,approved,2025,FP202500000161,"XX供应商1435",2025-04-06,E1,D004,"研究所",264890.39
R003143,E0067,D001,2025-03-08,2025-04-08,business_entertainment,500.81,,,,2,0,approved,2025,FP202500003143,"XX供应商7747",2025-03-08,M1,D001,"投资银行部",230395.17
R003270,E0052,D003,2025-02-19,2025-04-09,business_entertainment,1292.79,,,,5,0,approved,2025,FP202500003270,"XX供应商1525",2025-02-19,M1,D003,"财富管理部",109772.07
R000727,E0063,D004,2025-04-03,2025-04-11,business_entertainment,1203.58,,,,6,0,approved,2025,FP202500000727,"XX供应商7353",2025-04-03,E1,D004,"研究所",264890.39
R001597,E0068,D006,2025-02-21,2025-04-11,business_entertainment,1065.18,,,,4,0,approved,2025,FP202500001597,"XX供应商8113",2025-02-21,E1,D006,"运营管理部",340961.75
R001719,E0025,D001,2025-03-03,2025-04-11,business_entertainment,1029.16,,,,4,0,approved,2025,FP202500001719,"XX供应商1393",2025-03-03,E1,D001,"投资银行部",230395.17
R001822,E0015,D004,2025-03-06,2025-04-11,business_entertainment,271.2,,,,2,0,approved,2025,FP202500001822,"XX供应商9238",2025-03-06,E1,D004,"研究所",264890.39
R002333,E0049,D006,2025-03-17,2025-04-11,business_entertainment,754.5,,,,5,0,approved,2025,FP202500002333,"XX供应商6201",2025-03-17,E1,D006,"运营管理部",340961.75
R004072,E0045,D001,2025-02-24,2025-04-11,business_entertainment,1275.0,,,,5,0,approved,2025,FP202500004072,"XX供应商7929",2025-02-24,E1,D001,"投资银行部",230395.17
R000440,E0058,D007,2025-03-04,2025-04-12,business_entertainment,701.21,,,,4,0,approved,2025,FP202500000440,"XX供应商2775",2025-03-04,E1,D007,"信息技术部",301500.0
R004077,E0039,D002,2025-03-06,2025-04-12,business_entertainment,745.35,,,,5,0,approved,2025,FP202500004077,"XX供应商6149",2025-03-06,E1,D002,"固定收益部",107785.42
R000029,E0045,D001,2025-03-16,2025-04-13,business_entertainment,745.16,,,,5,0,approved,2025,FP202500000029,"XX供应商8177",2025-03-16,E1,D001,"投资银行部",230395.17
R001331,E0037,D008,2025-03-21,2025-04-13,business_entertainment,497.99,,,,2,0,approved,2025,FP202500001331,"XX供应商7839",2025-03-21,E1,D008,"合规风控部",381600.0
R001030,E0021,D002,2025-04-07,2025-04-14,business_entertainment,555.98,,,,3,0,approved,2025,FP202500001030,"XX供应商6053",2025-04-07,E1,D002,"固定收益部",107785.42
R001218,E0060,D006,2025-04-13,2025-04-14,business_entertainment,510.98,,,,3,0,approved,2025,FP202500001218,"XX供应商5717",2025-04-13,E1,D006,"运营管理部",340961.75
R001591,E0024,D006,2025-02-18,2025-04-15,business_entertainment,734.31,,,,3,0,approved,2025,FP202500001591,"XX供应商9308",2025-02-18,E1,D006,"运营管理部",340961.75
R001658,E0059,D006,2025-03-21,2025-04-15,business_entertainment,474.18,,,,2,0,approved,2025,FP202500001658,"XX供应商1863",2025-03-21,E1,D006,"运营管理部",340961.75
R002755,E0021,D002,2025-03-29,2025-04-15,business_entertainment,1736.69,,,,7,0,approved,2025,FP202500002755,"XX供应商4377",2025-03-29,E1,D002,"固定收益部",107785.42
R003786,E0023,D004,2025-03-28,2025-04-15,business_entertainment,859.04,,,,4,0,approved,2025,FP202500003786,"XX供应商1961",2025-03-28,M1,D004,"研究所",264890.39
R000424,E0074,D001,2025-03-03,2025-04-16,business_entertainment,370.44,,,,2,0,approved,2025,FP202500000424,"XX供应商9542",2025-03-03,E1,D001,"投资银行部",230395.17
R001122,E0022,D007,2025-02-28,2025-04-16,business_entertainment,469.41,,,,2,0,approved,2025,FP202500001122,"XX供应商4957",2025-02-28,D1,D007,"信息技术部",301500.0
R001166,E0035,D005,2025-03-18,2025-04-16,business_entertainment,983.64,,,,4,0,approved,2025,FP202500001166,"XX供应商2899",2025-03-18,M1,D005,"机构业务部",278540.94
R001944,E0025,D001,2025-03-10,2025-04-16,business_entertainment,942.26,,,,5,0,approved,2025,FP202500001944,"XX供应商8794",2025-03-10,E1,D001,"投资银行部",230395.17
R004057,E0074,D001,2025-04-04,2025-04-16,business_entertainment,566.87,,,,4,0,approved,2025,FP202500004057,"XX供应商5568",2025-04-04,E1,D001,"投资银行部",230395.17
R004172,E0069,D002,2025-04-02,2025-04-16,business_entertainment,1070.4,,,,4,0,approved,2025,FP202500004172,"XX供应商7995",2025-04-02,M1,D002,"固定收益部",107785.42
R000843,E0035,D005,2025-03-05,2025-04-17,business_entertainment,1475.2,,,,6,0,approved,2025,FP202500000843,"XX供应商9289",2025-03-05,M1,D005,"机构业务部",278540.94
R001236,E0035,D005,2025-03-22,2025-04-17,business_entertainment,1465.88,,,,6,0,approved,2025,FP202500001236,"XX供应商6716",2025-03-22,M1,D005,"机构业务部",278540.94
R002164,E0046,D001,2025-04-07,2025-04-17,business_entertainment,475.44,,,,3,0,approved,2025,FP202500002164,"XX供应商1569",2025-04-07,E1,D001,"投资银行部",230395.17
R003481,E0038,D004,2025-04-09,2025-04-17,business_entertainment,427.07,,,,2,0,approved,2025,FP202500003481,"XX供应商3136",2025-04-09,M1,D004,"研究所",264890.39
R000623,E0018,D005,2025-02-23,2025-04-18,business_entertainment,903.9,,,,6,0,approved,2025,FP202500000623,"XX供应商2614",2025-02-23,M1,D005,"机构业务部",278540.94
R001926,E0078,D006,2025-04-16,2025-04-19,business_entertainment,461.89,,,,2,0,approved,2025,FP202500001926,"XX供应商9895",2025-04-16,E1,D006,"运营管理部",340961.75
R000500,E0019,D006,2025-03-21,2025-04-20,business_entertainment,569.32,,,,3,0,approved,2025,FP202500000500,"XX供应商1062",2025-03-21,M1,D006,"运营管理部",340961.75
R001941,E0055,D004,2025-03-06,2025-04-20,business_entertainment,720.91,,,,3,0,approved,2025,FP202500001941,"XX供应商3716",2025-03-06,D1,D004,"研究所",264890.39
R002515,E0015,D004,2025-03-05,2025-04-20,business_entertainment,423.9,,,,2,0,approved,2025,FP202500002515,"XX供应商1685",2025-03-05,E1,D004,"研究所",264890.39
R002544,E0048,D005,2025-03-17,2025-04-20,business_entertainment,571.91,,,,3,0,approved,2025,FP202500002544,"XX供应商8465",2025-03-17,M1,D005,"机构业务部",278540.94
R001055,E0079,D002,2025-03-28,2025-04-21,business_entertainment,804.46,,,,3,0,approved,2025,FP202500001055,"XX供应商7395",2025-03-28,M1,D002,"固定收益部",107785.42
R000050,E0019,D006,2025-02-23,2025-04-22,business_entertainment,706.49,,,,4,0,approved,2025,FP202500000050,"XX供应商2684",2025-02-23,M1,D006,"运营管理部",340961.75
R001389,E0033,D001,2025-03-05,2025-04-23,business_entertainment,1049.18,,,,4,0,approved,2025,FP202500001389,"XX供应商6131",2025-03-05,E1,D001,"投资银行部",230395.17
R003379,E0036,D010,2025-03-28,2025-04-23,business_entertainment,561.88,,,,3,0,approved,2025,FP202500003379,"XX供应商6890",2025-03-28,E1,D010,"人力资源部",164500.0
R003732,E0079,D002,2025-04-09,2025-04-24,business_entertainment,872.83,,,,5,0,approved,2025,FP202500003732,"XX供应商4263",2025-04-09,M1,D002,"固定收益部",107785.42
R002086,E0039,D002,2025-03-05,2025-04-25,business_entertainment,793.06,,,,4,0,approved,2025,FP202500002086,"XX供应商6542",2025-03-05,E1,D002,"固定收益部",107785.42
R001375,E0052,D003,2025-03-03,2025-04-26,business_entertainment,536.05,,,,3,0,approved,2025,FP202500001375,"XX供应商9683",2025-03-03,M1,D003,"财富管理部",109772.07
R002742,E0072,D005,2025-03-20,2025-04-26,business_entertainment,423.54,,,,2,0,approved,2025,FP202500002742,"XX供应商9718",2025-03-20,M1,D005,"机构业务部",278540.94
